Issue Number,Issue Title,Time created,Time closed,Number of Assignees,Number of Comments,Tags
62448,manylinux_2_28 support,2023-11-21 13:12:52+00:00,,2,3,"[Label(name=""stat:awaiting tensorflower""), Label(name=""type:build/install""), Label(name=""subtype: ubuntu/linux""), Label(name=""TF 2.15"")]"
62447,StridedSlice tests have invalid output data,2023-11-21 12:02:59+00:00,,1,2,"[Label(name=""stat:awaiting response""), Label(name=""type:bug""), Label(name=""comp:lite""), Label(name=""TF2.14"")]"
62445,Using bazel build a c api ,2023-11-21 07:51:04+00:00,,1,3,"[Label(name=""stat:awaiting response""), Label(name=""type:build/install""), Label(name=""type:support""), Label(name=""comp:lite"")]"
62444,tensorflow - tf.keras.Model.fit causes run out of data for validation data with validation_steps being set,2023-11-21 07:24:17+00:00,,1,1,"[Label(name=""type:bug""), Label(name=""comp:keras""), Label(name=""TF2.14"")]"
62441,Convolution: CPU memory increase with growing number of different sequence lengths,2023-11-20 15:51:19+00:00,,1,3,"[Label(name=""type:bug""), Label(name=""type:performance""), Label(name=""TF2.14"")]"
62440,Bug in memory out-of-bound related to kMaxDim of RuntimeShape at tflite kernels,2023-11-20 11:47:22+00:00,,1,7,"[Label(name=""stat:awaiting response""), Label(name=""type:bug""), Label(name=""comp:lite""), Label(name=""TF 2.8"")]"
62439,Support TFLite  Shared library build with CMake,2023-11-20 10:46:11+00:00,,1,3,"[Label(name=""stat:awaiting response""), Label(name=""type:feature""), Label(name=""comp:lite""), Label(name=""TF2.14"")]"
62438,tensorflow - tf.cond does not work if predicate is passed from function,2023-11-20 06:39:55+00:00,,1,3,"[Label(name=""type:bug""), Label(name=""comp:apis""), Label(name=""TF2.14"")]"
62436,Bug in tf.test.compute_gradient for tf.keras.layers.LeakyReLU,2023-11-20 02:34:24+00:00,,1,1,"[Label(name=""stat:awaiting tensorflower""), Label(name=""type:bug""), Label(name=""comp:ops""), Label(name=""TF2.14"")]"
62435,Bug in tf.test.compute_gradient for tf.keras.layers.GlobalMaxPooling2D,2023-11-19 12:58:32+00:00,,1,3,"[Label(name=""stat:awaiting tensorflower""), Label(name=""type:bug""), Label(name=""comp:ops""), Label(name=""TF2.14"")]"
62434,Bug in tf.test.compute_gradient for tf.keras.layers.ELU,2023-11-19 12:24:23+00:00,,1,1,"[Label(name=""type:bug""), Label(name=""comp:keras""), Label(name=""TF2.14"")]"
62433,tf.keras.layers.DepthwiseConv2D throws error when backprop,2023-11-19 12:00:24+00:00,,1,1,"[Label(name=""type:bug""), Label(name=""comp:ops""), Label(name=""TF2.14"")]"
62432,tf.keras.layers.Dense throws error when backprop,2023-11-19 11:44:12+00:00,,1,3,"[Label(name=""type:bug""), Label(name=""comp:keras""), Label(name=""TF2.14"")]"
62431,Bug in tf.test.compute_gradient for tf.keras.layers.Conv3DTranspose,2023-11-19 09:33:39+00:00,,1,1,"[Label(name=""type:bug""), Label(name=""comp:ops""), Label(name=""TF2.14"")]"
62429,Bug in tf.test.compute_gradient for tf.keras.layers.Activation,2023-11-19 08:38:35+00:00,,1,1,"[Label(name=""type:bug""), Label(name=""comp:keras""), Label(name=""TF2.14"")]"
62427,tf.keras.layers.ConvLSTM2D throws error when backprop,2023-11-19 03:58:36+00:00,,1,1,"[Label(name=""type:bug""), Label(name=""comp:keras""), Label(name=""TF2.14"")]"
62425,tf.keras.layers.Conv3D throws error when backprop,2023-11-18 14:34:08+00:00,,1,2,"[Label(name=""type:bug""), Label(name=""comp:ops""), Label(name=""TF2.14"")]"
62423,"Forward AD threw error in tf.autodiff.ForwardAccumulator for tf.keras.layers.AveragePooling3D, but backward AD succeeded with same input",2023-11-18 10:28:55+00:00,,1,3,"[Label(name=""type:bug""), Label(name=""comp:ops""), Label(name=""TF2.14"")]"
62422,"Forward AD threw error in tf.autodiff.ForwardAccumulator for tf.keras.layers.AveragePooling2D, but backward AD succeeded with same input",2023-11-18 08:44:06+00:00,,1,1,"[Label(name=""type:bug""), Label(name=""comp:keras""), Label(name=""comp:ops""), Label(name=""TF2.14"")]"
62421,tf.keras.layers.AlphaDropout crash when noise_shape is a tensor,2023-11-18 07:53:09+00:00,,1,2,"[Label(name=""type:bug""), Label(name=""comp:ops""), Label(name=""TF2.14"")]"
62420,Wrong gradient calculated for API tf.keras.layers.Add,2023-11-18 06:48:12+00:00,,1,1,"[Label(name=""type:bug""), Label(name=""comp:keras""), Label(name=""TF2.14"")]"
62419,StatefulRandomBinomial not able to run using GPU,2023-11-17 21:37:51+00:00,,1,4,"[Label(name=""stat:awaiting tensorflower""), Label(name=""type:feature""), Label(name=""comp:ops""), Label(name=""comp:gpu""), Label(name=""TF 2.15"")]"
62416,TF 2.15 fails to build on Ubuntu 23.10,2023-11-17 16:54:13+00:00,,1,3,"[Label(name=""type:build/install""), Label(name=""subtype: ubuntu/linux""), Label(name=""TF 2.15"")]"
62415,WARNING:tensorflow,2023-11-17 12:46:22+00:00,,1,4,"[Label(name=""stat:awaiting response""), Label(name=""type:support""), Label(name=""comp:apis""), Label(name=""TF 2.15"")]"
62414,tf.keras.layers.AveragePooling3D crash,2023-11-17 12:27:55+00:00,,1,2,"[Label(name=""stat:awaiting tensorflower""), Label(name=""type:bug""), Label(name=""comp:keras""), Label(name=""TF2.14"")]"
62412,"Tensorflow 2.15 Docker image cannot find the GPU drivers, but nvidia-smi can.",2023-11-16 16:52:27+00:00,,3,7,"[Label(name=""stat:awaiting tensorflower""), Label(name=""type:bug""), Label(name=""comp:gpu""), Label(name=""TF 2.15"")]"
62410,"Using TensorFlow Lite for android development, copied repo from source and while running code I am facing error",2023-11-16 14:04:05+00:00,,1,1,"[Label(name=""stat:awaiting response""), Label(name=""comp:lite""), Label(name=""TFLiteConverter""), Label(name=""Android"")]"
62407,TensorFlow Lite in Play Services issue: Cannot initialize interpreter: Error loading TFLite native library,2023-11-16 01:24:20+00:00,,1,7,"[Label(name=""stat:awaiting response""), Label(name=""type:support""), Label(name=""comp:lite""), Label(name=""TFLiteGpuDelegate""), Label(name=""TFLiteGooglePlayServices"")]"
62404,I can't install tensorflow on termux on android,2023-11-15 07:05:17+00:00,,1,22,"[Label(name=""stat:awaiting response""), Label(name=""comp:lite""), Label(name=""comp:lite-support"")]"
62403,How to get c++ code coverage when running Python tests?,2023-11-15 06:38:21+00:00,,1,0,"[Label(name=""type:build/install""), Label(name=""TF2.14"")]"
62400,`log_softmax` could be `2**102` to `2**970` times more accurate,2023-11-14 23:52:13+00:00,,1,1,"[Label(name=""type:feature""), Label(name=""comp:apis"")]"
62399,`tf.math.log` thinks that -103 is -inf,2023-11-14 23:45:40+00:00,,1,5,"[Label(name=""stat:awaiting tensorflower""), Label(name=""type:bug""), Label(name=""comp:ops""), Label(name=""comp:core""), Label(name=""TF2.14"")]"
62397,Tensorflow terribly slow on Mac Studio M1 Ultra - problem with tensorflow-metal,2023-11-14 19:58:41+00:00,,1,1,"[Label(name=""type:build/install""), Label(name=""subtype:macOS""), Label(name=""type:performance""), Label(name=""TF 2.13"")]"
62395,"No session factory registered for the given session options: {target: """" config: } Registered factories are {}",2023-11-14 15:06:16+00:00,,1,0,"[Label(name=""type:build/install""), Label(name=""TF 2.8"")]"
62391,jit-compiled `tfnp.take_along_axis` shape bug,2023-11-14 07:54:57+00:00,,1,6,"[Label(name=""type:bug""), Label(name=""comp:ops"")]"
62389,tensorflow.org/versions points to latest version for 2.11 onwards,2023-11-14 05:40:24+00:00,,1,1,"[Label(name=""type:docs-bug""), Label(name=""awaiting review""), Label(name=""type:bug""), Label(name=""type:others"")]"
62388,windows build tensorflowlite for android error,2023-11-14 03:55:05+00:00,,1,7,"[Label(name=""stat:awaiting response""), Label(name=""type:support""), Label(name=""stale""), Label(name=""comp:lite""), Label(name=""TF 2.12"")]"
62387,KeyError: 'CreateRangeDecoder',2023-11-14 02:29:04+00:00,,1,2,"[Label(name=""stat:awaiting response""), Label(name=""stale"")]"
62384,"Tensorflow (MLIR) build fails with local LLVM (Support Library cannot be built, b/c/ llvm_zlib//:zlib and llvm_zstd//:zstd are missing)",2023-11-13 14:13:18+00:00,,1,4,"[Label(name=""type:bug""), Label(name=""type:build/install""), Label(name=""type:support""), Label(name=""subtype: ubuntu/linux"")]"
62383,[Apple ARM architecture] - Golang app crashes when use TensorFlow in M1 Mac (ARM-based).,2023-11-13 14:04:23+00:00,,1,5,"[Label(name=""type:bug""), Label(name=""TF2.14"")]"
62382,Understand thread_sync_cost and framework_cost calculation in mkl_heuristics.h,2023-11-13 10:48:22+00:00,,1,7,"[Label(name=""stat:awaiting response""), Label(name=""type:support""), Label(name=""stale""), Label(name=""comp:mkl"")]"
62381,Tensorflow Lite: Build installable package fails,2023-11-13 10:39:12+00:00,,2,2,"[Label(name=""stat:awaiting tensorflower""), Label(name=""type:build/install""), Label(name=""comp:lite""), Label(name=""subtype: ubuntu/linux"")]"
62378,Least squares is 50% slower when activating JIT compile,2023-11-12 17:01:11+00:00,,1,5,"[Label(name=""comp:xla""), Label(name=""type:performance""), Label(name=""comp:tf.function""), Label(name=""TF2.14"")]"
62374,Tensorflow compiler error in bazel,2023-11-11 10:32:53+00:00,,1,3,"[Label(name=""stat:awaiting response""), Label(name=""type:build/install""), Label(name=""subtype:macOS""), Label(name=""TF 2.12"")]"
62373,TensorFlow Profiler did not work correctly.,2023-11-11 04:49:16+00:00,,1,31,"[Label(name=""comp:tensorboard""), Label(name=""stat:awaiting tensorflower""), Label(name=""type:bug""), Label(name=""comp:apis""), Label(name=""TF2.14"")]"
62371,Segmentation Fault when using Coral Edge Tpu,2023-11-10 22:11:05+00:00,,2,12,"[Label(name=""stat:awaiting tensorflower""), Label(name=""type:bug""), Label(name=""comp:lite""), Label(name=""TF2.14"")]"
62367,[TF 2.14][aarch64]Memory footprint increased by almost 2.5x for inference (eg: I've tested MLPerf Resnet50 offline mode),2023-11-10 18:55:51+00:00,,3,1,"[Label(name=""stat:awaiting tensorflower""), Label(name=""type:bug""), Label(name=""type:performance""), Label(name=""TF2.14"")]"
62364,Issue created for Rollback of PR #6657: fix zlib dependency (current one fails with 403 on ./configure),2023-11-09 18:24:00+00:00,,1,0,[]
62363,Can't load model with tf v2.14 if the model was saved with previous tf versions,2023-11-09 10:16:47+00:00,,1,3,"[Label(name=""type:support""), Label(name=""comp:model""), Label(name=""TF2.14"")]"
62361,Discrepancy in training accuracy for CNN on MNIST dataset between Apple Silicon and colab,2023-11-09 02:46:34+00:00,,1,9,"[Label(name=""stat:awaiting tensorflower""), Label(name=""type:bug""), Label(name=""comp:keras""), Label(name=""TF 2.13"")]"
62360,TFLite Interpreter fails to load fp32/ fp16 model on iPhone with CoreML or Metal Delegate in Swift,2023-11-09 00:07:09+00:00,,1,8,"[Label(name=""stat:awaiting tensorflower""), Label(name=""type:bug""), Label(name=""comp:lite""), Label(name=""TFLiteConverter""), Label(name=""TF 2.13"")]"
62355,Building Tensorflow with custom Onednn,2023-11-08 08:30:56+00:00,,2,4,"[Label(name=""stat:awaiting tensorflower""), Label(name=""type:build/install""), Label(name=""comp:mkl""), Label(name=""subtype: ubuntu/linux""), Label(name=""TF 2.13"")]"
62341,Does tflite support background running on my phone?,2023-11-07 02:28:37+00:00,,1,5,"[Label(name=""stat:awaiting response""), Label(name=""type:support""), Label(name=""stale""), Label(name=""comp:lite"")]"
62340,@python_version_repo no longer visible after hermetic python changes,2023-11-06 19:18:28+00:00,,2,9,"[Label(name=""stat:awaiting tensorflower""), Label(name=""type:bug""), Label(name=""type:build/install""), Label(name=""comp:lite"")]"
62339, Install error with clang compiler. CUDA device code does not support variadict functions.,2023-11-06 17:44:49+00:00,,1,5,"[Label(name=""stat:awaiting tensorflower""), Label(name=""type:build/install""), Label(name=""subtype: ubuntu/linux""), Label(name=""TF2.14"")]"
62337,tf.keras.models.load_model can't handle UNC paths,2023-11-06 17:18:10+00:00,,1,13,"[Label(name=""type:bug""), Label(name=""comp:keras""), Label(name=""TF2.14"")]"
62329,Model profile for inference,2023-11-06 05:30:37+00:00,,1,8,"[Label(name=""type:support""), Label(name=""comp:ops"")]"
62322,TensorFlow 2.12.1 Not Recognizing GPU with CUDA 11 Installation,2023-11-04 10:32:49+00:00,,1,3,"[Label(name=""stat:awaiting response""), Label(name=""type:build/install""), Label(name=""type:support""), Label(name=""subtype:windows"")]"
62319,tf.keras.Model.save can't handle UNC paths,2023-11-03 16:47:23+00:00,,1,7,"[Label(name=""type:support""), Label(name=""comp:keras""), Label(name=""TF2.14"")]"
62317,Cannot load_model() for Functional model if compiled with tf.keras.optimizer.get(optimizer_config),2023-11-03 11:43:06+00:00,,1,3,"[Label(name=""type:bug""), Label(name=""comp:keras""), Label(name=""TF2.14"")]"
62305,Addition of `rfftn` function in TF backend ,2023-11-01 13:14:46+00:00,,1,2,"[Label(name=""stat:awaiting tensorflower""), Label(name=""type:feature""), Label(name=""comp:core""), Label(name=""TF2.14"")]"
62303,Remove resizeInput interface to TFLite Interpreter,2023-11-01 11:04:39+00:00,,1,2,"[Label(name=""comp:lite"")]"
62298,schema_generated.h checked into source instead of generated,2023-10-31 20:15:14+00:00,,2,4,"[Label(name=""stat:awaiting tensorflower""), Label(name=""type:build/install""), Label(name=""comp:lite"")]"
62295,Different Behavior of tf.raw_ops.RGBToHSV with jit_compile=True,2023-10-31 07:42:27+00:00,,1,1,"[Label(name=""stat:awaiting response""), Label(name=""type:bug""), Label(name=""comp:ops""), Label(name=""TF2.14"")]"
62294,Different Behavior of tf.raw_ops.Pow with jit_compile=True,2023-10-31 07:34:40+00:00,,1,3,"[Label(name=""stat:awaiting tensorflower""), Label(name=""type:bug""), Label(name=""comp:xla""), Label(name=""TF2.14"")]"
62290,Build Microfrontend -Wsigned-compare and -Wdouble-promotion,2023-10-30 21:29:07+00:00,,1,1,"[Label(name=""type:build/install""), Label(name=""awaiting PR merge"")]"
62284,Different Behavior of tf.raw_ops.AdjustContrastV2 with jit_compile=True,2023-10-30 13:19:07+00:00,,1,1,"[Label(name=""type:bug""), Label(name=""comp:ops""), Label(name=""TF2.14"")]"
62281,[RNN] TFLite converter segfaults with GRU models,2023-10-30 13:03:22+00:00,,2,5,"[Label(name=""stat:awaiting tensorflower""), Label(name=""comp:lite""), Label(name=""regression issue""), Label(name=""type:performance""), Label(name=""TFLiteConverter""), Label(name=""ModelOptimizationToolkit""), Label(name=""TF2.14"")]"
62280,Different Behavior of tf.raw_ops.Asin with jit_compile=True,2023-10-30 12:59:35+00:00,,1,2,"[Label(name=""stat:awaiting tensorflower""), Label(name=""type:bug""), Label(name=""comp:ops""), Label(name=""comp:xla""), Label(name=""TF2.14"")]"
62276,Different Behavior of tf.raw_ops.BatchMatMulV2+tf.raw_ops.Sin with jit_compile=True,2023-10-30 12:02:51+00:00,,1,2,"[Label(name=""stat:awaiting tensorflower""), Label(name=""type:bug""), Label(name=""comp:ops""), Label(name=""comp:tf.function""), Label(name=""TF2.14"")]"
62272,tensorflowlite build error about fatal error C1001:Internal compiler error for O2 option,2023-10-30 02:07:57+00:00,,1,12,"[Label(name=""stat:awaiting response""), Label(name=""type:build/install""), Label(name=""type:support""), Label(name=""comp:lite""), Label(name=""subtype:windows""), Label(name=""TF 2.12"")]"
62271,Documentation of `tf.nn.depthwise_conv2d` fails to mention limitation on strides,2023-10-29 11:17:14+00:00,,1,2,"[Label(name=""type:docs-bug""), Label(name=""comp:apis""), Label(name=""awaiting PR merge""), Label(name=""TF2.14"")]"
62267,Different Behavior of tf.raw_ops.IgammaGradA+tf.raw_ops.DivNoNan with jit_compile=True,2023-10-28 02:44:11+00:00,,1,1,"[Label(name=""stat:awaiting tensorflower""), Label(name=""type:bug""), Label(name=""comp:ops""), Label(name=""comp:tf.function""), Label(name=""TF2.14"")]"
