Issue Number,Issue Title,Time created,Time closed,Number of Assignees,Number of Comments,Tags,Final_Is_Bug
114875,[inductor][cpu] few models show performance regression on CPP Wrapper module: cpu oncall: pt2 module: inductor module: cpu inductor,2023-11-30 14:54:06+00:00,,0,3,module: cpu oncall: pt2 module: inductor module: cpu inductor,False
114874,nn.LSTM tolerates wrong input shape when hidden state isn't provided. module: nn triaged,2023-11-30 14:44:17+00:00,,0,0,module: nn triaged,True
114873,[inductor][cpu] hf_T5_generate and doctr_det_predictor failed on CPP Wrapper Dynamic Shape module: cpu oncall: pt2 module: inductor,2023-11-30 14:42:05+00:00,,1,3,module: cpu oncall: pt2 module: inductor,False
114871,Sparse block tensors (`torch.sparse`) module: sparse feature triaged,2023-11-30 14:14:19+00:00,,0,0,module: sparse feature triaged,True
114869,[inductor][cpu] llama and pytorch_stargan failed on CPP Wrapper module: cpu oncall: pt2 module: inductor,2023-11-30 13:59:42+00:00,,1,3,module: cpu oncall: pt2 module: inductor,False
114868,test_vmapvjpvjp_linalg_tensorsolve_cpu_float32 fails with precision issue triaged module: functorch,2023-11-30 12:59:01+00:00,,0,0,triaged module: functorch,True
114864,`torch.Tensor.index_add` segfault by negative-size-param triaged actionable module: python frontend module: edge cases,2023-11-30 11:34:57+00:00,,1,1,triaged actionable module: python frontend module: edge cases,True
114861,Torchrun threads with different computing speed. oncall: distributed,2023-11-30 10:05:50+00:00,,0,2,oncall: distributed,False
114859,PT2 QAT flow fails to get reasonable accuracy with  mobilenet_v3_large oncall: quantization oncall: pt2,2023-11-30 09:11:12+00:00,,0,0,oncall: quantization oncall: pt2,False
114857,recursive search for DDP ignored parameters oncall: distributed,2023-11-30 08:34:56+00:00,,0,0,oncall: distributed,False
114856,[RFC] Intel GPU Inductor backend upstreaming module: intel oncall: pt2 module: inductor,2023-11-30 08:25:11+00:00,,3,0,module: intel oncall: pt2 module: inductor,False
114855,SparseTensor index select uses more CUDA memory than Torch index select module: sparse module: memory usage triaged,2023-11-30 08:19:42+00:00,,0,0,module: sparse module: memory usage triaged,True
114850,[RFC] Add Intel GPU support into PyTorch CI/CD  oncall: releng module: intel,2023-11-30 07:15:58+00:00,,0,0,oncall: releng module: intel,False
114848,[RFC]Intel GPU oneDNN Upstreaming triaged module: intel,2023-11-30 06:47:36+00:00,,0,0,triaged module: intel,True
114844,CUDA graph doesn't update tensor on replay triaged module: cuda graphs,2023-11-30 05:33:46+00:00,,0,0,triaged module: cuda graphs,True
114842,[RFC] Intel GPU Runtime Upstreaming triaged module: intel,2023-11-30 05:05:21+00:00,,0,0,triaged module: intel,True
114840,MacOS tests randomly fail after https://github.com/pytorch/pytorch/commit/165f4f6ccf7522d75df99c30821d583dfc58ad62 high priority triage review module: ci module: macos,2023-11-30 05:01:36+00:00,,0,1,high priority triage review module: ci module: macos,True
114835,[RFC] Building system for SYCL and limited number of SYCL kernels for ATen fallbacks of TorchInductor feature module: intel oncall: pt2 module: inductor,2023-11-30 03:44:16+00:00,,0,0,feature module: intel oncall: pt2 module: inductor,False
114834,DISABLED test_grad_nn_functional_conv3d_cuda_float32 (__main__.TestOperatorsCUDA) module: autograd module: nn triaged module: flaky-tests skipped,2023-11-30 03:40:18+00:00,,0,1,module: autograd module: nn triaged module: flaky-tests skipped,False
114833,DISABLED test_fn_gradgrad_linalg_lu_cuda_complex128 (__main__.TestBwdGradientsCUDA) module: autograd triaged module: flaky-tests module: linear algebra skipped,2023-11-30 03:40:16+00:00,,0,1,module: autograd triaged module: flaky-tests module: linear algebra skipped,False
114832,DISABLED test_fn_gradgrad_linalg_lu_factor_ex_cuda_float64 (__main__.TestBwdGradientsCUDA) module: autograd triaged module: flaky-tests module: linear algebra skipped,2023-11-30 03:40:12+00:00,,0,1,module: autograd triaged module: flaky-tests module: linear algebra skipped,False
114831,DISABLED test_torch_name_rule_map_updated (__main__.TraceRuleTests) triaged module: flaky-tests skipped module: dynamo,2023-11-30 03:40:12+00:00,,0,3,triaged module: flaky-tests skipped module: dynamo,False
114808,Efficient Cholesky and QR updates module: sparse triaged,2023-11-29 23:26:11+00:00,,0,0,module: sparse triaged,True
114807,Addition of Sparse and Dense Tensors Triggers Internal Assertion Failure module: sparse triaged,2023-11-29 23:19:28+00:00,,0,0,module: sparse triaged,True
114805,Unsupported: call_method UserDefinedObjectVariable(_profiler_enabled) __call__ [] {} triaged module: graph breaks,2023-11-29 22:51:45+00:00,,0,0,triaged module: graph breaks,True
114801,torch.onnx.export to support opset 20.  module: onnx triaged onnx-triaged,2023-11-29 22:09:51+00:00,,0,0,module: onnx triaged onnx-triaged,False
114796,Add head_mask for transformers module: nn triaged oncall: transformer/mha,2023-11-29 21:09:10+00:00,,0,0,module: nn triaged oncall: transformer/mha,True
114786,[ONNX] Refactor op level_debug to catch mismatches between ONNX models and ExportedProgram and nn.Module module: onnx triaged onnx-triaged,2023-11-29 20:00:15+00:00,,2,0,module: onnx triaged onnx-triaged,True
114783,[ONNX] Extend `test_fx_op_conistency.py` to take `ExportedProgram` converter module: onnx triaged onnx-triaged,2023-11-29 19:55:21+00:00,,0,0,module: onnx triaged onnx-triaged,True
114777,torch.compile x autograd.Function x enum inputs graph breaks triage review triaged oncall: pt2 module: dynamo module: graph breaks,2023-11-29 19:20:04+00:00,,0,1,triage review triaged oncall: pt2 module: dynamo module: graph breaks,True
114765,DistributedDataParallel _verify_param_shape_across_processes causes reserved memory on GPU oncall: distributed,2023-11-29 17:59:33+00:00,,0,0,oncall: distributed,False
114760,[AOTAutograd] nit `assert_functional_graph` is misnamed triaged module: aotdispatch,2023-11-29 15:41:44+00:00,,0,0,triaged module: aotdispatch,True
114752,Issues when trying to compile nn.functional.interpolate() layer with dynamic input and output size triaged oncall: pt2 module: dynamic shapes module: dynamo,2023-11-29 12:40:36+00:00,,0,1,triaged oncall: pt2 module: dynamic shapes module: dynamo,False
114750,"[aarch64] `nn.Linear(20, 1)` inference fails high priority triage review oncall: jit module: nn module: mkldnn module: regression module: arm",2023-11-29 12:27:31+00:00,,0,12,high priority triage review oncall: jit module: nn module: mkldnn module: regression module: arm,True
114743,aot_module fails to trace modules whose parameters are tied (models with shared params) triaged oncall: pt2 module: pt2-dispatcher,2023-11-29 08:18:14+00:00,,0,1,triaged oncall: pt2 module: pt2-dispatcher,True
114742,[Add][compile] Tensor with dtype torch.int64 is not the expected dtype of torch.int32! needs reproduction triaged oncall: pt2 module: dynamo,2023-11-29 07:33:27+00:00,,0,2,needs reproduction triaged oncall: pt2 module: dynamo,False
114740,torch.cuda.amp.common.amp_definitely_not_available() failed and needs to raise RuntimeError triaged module: amp (automated mixed precision),2023-11-29 06:27:51+00:00,,0,1,triaged module: amp (automated mixed precision),True
114723,[RFC] Intel GPU Upstreaming  triage review module: intel module: inductor,2023-11-29 01:48:29+00:00,,4,1,triage review module: intel module: inductor,True
114721,AppleSilicon binaries are build without OpenMP support high priority triage review oncall: releng,2023-11-29 01:32:16+00:00,,1,5,high priority triage review oncall: releng,True
114719,DISABLED test_make_fx_symbolic_exhaustive_out_special_log_ndtr_cpu_float32 (__main__.TestProxyTensorOpInfoCPU) triaged module: flaky-tests skipped module: ProxyTensor,2023-11-29 00:56:53+00:00,,0,1,triaged module: flaky-tests skipped module: ProxyTensor,False
114691,`torch.from_numpy` does not support `set_default_device` module: docs triaged actionable module: tensor creation,2023-11-28 19:29:02+00:00,,0,4,module: docs triaged actionable module: tensor creation,True
114681,DISABLED test_sync_batch_norm_empty_input (__main__.DistributedDataParallelTest) oncall: distributed module: flaky-tests skipped,2023-11-28 15:39:39+00:00,,0,1,oncall: distributed module: flaky-tests skipped,False
114680,pytorch cpuinfo submodule to be updated to the latest module: build triaged,2023-11-28 14:07:46+00:00,,0,2,module: build triaged,True
114679,Unexpected Results in PyTorch Tensor Operations with Python Scalars triaged module: numpy,2023-11-28 13:59:12+00:00,,0,0,triaged module: numpy,True
114677,"Upgrading from 1.8.1 to 1.13.0 causes exported ONNX file enlarged greatly, printable graph changed, and crashed when converting to TensorRT module: onnx triaged",2023-11-28 09:22:00+00:00,,0,0,module: onnx triaged,True
114676,'SymFloat' object has no attribute 'is_integer' good first issue triaged oncall: pt2 module: dynamic shapes,2023-11-28 09:19:34+00:00,,1,0,good first issue triaged oncall: pt2 module: dynamic shapes,True
114674,Dynamo guards key error for `guarded_backend_cache.cached_backends` triaged oncall: pt2 module: dynamo,2023-11-28 08:57:21+00:00,,1,4,triaged oncall: pt2 module: dynamo,True
114672,torch.fft.ifft crashes for empty input triaged module: fft,2023-11-28 07:52:42+00:00,,0,0,triaged module: fft,True
114670,DISABLED test_backward_nn_functional_conv3d_cuda_float32 (__main__.TestCompositeComplianceCUDA) module: autograd module: nn triaged module: flaky-tests skipped,2023-11-28 06:40:17+00:00,,0,1,module: autograd module: nn triaged module: flaky-tests skipped,False
114665,DISABLED test_cuda_stream_method_dynamic_shapes (__main__.DynamicShapesCtxManagerTests) triaged skipped module: dynamo,2023-11-28 05:00:25+00:00,,0,1,triaged skipped module: dynamo,False
114656,DISABLED test_conj_view_nn_functional_conv3d_cuda_complex64 (__main__.TestMathBitsCUDA) module: nn triaged module: flaky-tests skipped,2023-11-28 00:57:42+00:00,,0,1,module: nn triaged module: flaky-tests skipped,False
114655,DISABLED test_noncontiguous_samples_nn_functional_conv3d_cuda_float32 (__main__.TestCommonCUDA) module: rocm triaged module: flaky-tests skipped module: unknown,2023-11-28 00:57:12+00:00,,0,1,module: rocm triaged module: flaky-tests skipped module: unknown,False
114654,DISABLED test_jvpvjp_nn_functional_conv3d_cuda_float32 (__main__.TestOperatorsCUDA) triaged module: flaky-tests skipped module: functorch,2023-11-28 00:57:09+00:00,,0,2,triaged module: flaky-tests skipped module: functorch,False
114652,__torch_dispatch__ fails on functionalization when lazy device and `out=` arg is used triaged module: __torch_dispatch__ module: lazy module: functionalization,2023-11-28 00:55:28+00:00,,0,1,triaged module: __torch_dispatch__ module: lazy module: functionalization,True
114650,Error when calculating the Jacobian of torch.conj using forward-mode differentiation module: autograd triaged module: complex has workaround needs design,2023-11-28 00:35:47+00:00,,0,2,module: autograd triaged module: complex has workaround needs design,True
114635,[export] AssertionError: expected FunctionType found method <bound method QuantLinearConvBase.quantized_forward of <class '__main__.QuantConv2d'>> oncall: export,2023-11-27 22:32:00+00:00,,0,0,oncall: export,False
114632,[DeviceMesh] back DeviceMesh initialization by custom_pg oncall: distributed triaged,2023-11-27 22:02:09+00:00,,0,0,oncall: distributed triaged,True
114631,DISABLED test_vjpvmap_nn_functional_conv3d_cuda_float32 (__main__.TestOperatorsCUDA) triaged module: flaky-tests skipped,2023-11-27 21:42:45+00:00,,0,5,triaged module: flaky-tests skipped,False
114629,[DeviceMesh] `init_device_mesh` does not support CPU-only oncall: distributed triaged,2023-11-27 21:16:45+00:00,,0,0,oncall: distributed triaged,False
114628,`run_decompositions` in `ExportedProgram` doesn't keep the same model state_dict oncall: export,2023-11-27 21:14:06+00:00,,0,2,oncall: export,False
114617,RNN argument order module: nn triaged actionable,2023-11-27 18:53:24+00:00,,1,5,module: nn triaged actionable,True
114602,[RFC] macOS x86 builds / test deprecation module: binaries module: ci triaged module: macos,2023-11-27 17:19:21+00:00,,0,4,module: binaries module: ci triaged module: macos,True
114592,DISABLED test_variant_consistency_eager_nn_functional_conv3d_cuda_complex64 (__main__.TestCommonCUDA) triaged module: flaky-tests skipped module: unknown,2023-11-27 09:39:36+00:00,,0,1,triaged module: flaky-tests skipped module: unknown,False
114591,Missing packaging dependency in torch 2.1.x oncall: releng triaged module: tensorboard,2023-11-27 09:20:17+00:00,,0,3,oncall: releng triaged module: tensorboard,True
114590,`torch.compiler.disable` causes a guard failure triaged oncall: pt2 module: dynamo,2023-11-27 09:12:26+00:00,,0,0,triaged oncall: pt2 module: dynamo,True
114581,Flawed testing of onesidedness in istft triaged module: fft,2023-11-27 05:12:17+00:00,,0,0,triaged module: fft,True
114577,torch.norm_except_dim() operator: Cannot call sizes() on tensor with symbolic sizes/strides  triaged actionable module: norms and normalization oncall: pt2,2023-11-27 04:03:15+00:00,,0,1,triaged actionable module: norms and normalization oncall: pt2,False
114574,DISABLED test_schema_correctness_nn_functional_conv3d_cuda_complex64 (__main__.TestSchemaCheckModeOpInfoCUDA) oncall: jit module: flaky-tests skipped,2023-11-27 03:39:27+00:00,,0,2,oncall: jit module: flaky-tests skipped,False
114573,DISABLED test_schema_correctness_nn_functional_conv3d_cuda_complex128 (__main__.TestSchemaCheckModeOpInfoCUDA) oncall: jit module: flaky-tests skipped,2023-11-27 03:39:23+00:00,,0,2,oncall: jit module: flaky-tests skipped,False
114572,"In version 2.1, libtorch needs to be woken up every time it is called after the model is initialized, which means that every time the model is called, it is very slow to predict the first picture. needs reproduction module: cpp triaged",2023-11-27 02:58:12+00:00,,0,1,needs reproduction module: cpp triaged,True
114571,inconsistency between nan cast to int32 on CPU and GPU module: cuda triaged module: NaNs and Infs,2023-11-27 02:29:03+00:00,,0,1,module: cuda triaged module: NaNs and Infs,True
114569,inconsistency on torch.clamp module: cuda triaged module: NaNs and Infs,2023-11-27 02:04:29+00:00,,0,1,module: cuda triaged module: NaNs and Infs,True
114567,Internal CI for libTorch module: windows triaged,2023-11-27 01:01:48+00:00,,1,3,module: windows triaged,True
114566,Build LibTorch for Windows ARM64 module: windows triaged,2023-11-27 00:56:51+00:00,,1,2,module: windows triaged,True
114565,Create a reproducible build for LibTorch x64 on VS2022 module: windows triaged,2023-11-27 00:50:02+00:00,,1,2,module: windows triaged,True
114548,[BE / AOTAutograd] AOTAutograd should be refactored into smaller files with clear responsibilities triaged oncall: pt2 module: aotdispatch module: pt2-dispatcher,2023-11-26 10:41:58+00:00,,0,8,triaged oncall: pt2 module: aotdispatch module: pt2-dispatcher,False
114543,[torch.jit.script] Torchscript produces incorrect result when argmax result is used in indexing oncall: jit,2023-11-26 08:12:49+00:00,,0,1,oncall: jit,True
114542,size error when using bits-level ops + broadcasting + view triaged oncall: pt2,2023-11-26 03:29:45+00:00,,0,1,triaged oncall: pt2,True
114535,[profiling] CUDA memory viz does not compose with `torch.compile` oncall: profiler,2023-11-25 14:02:07+00:00,,0,1,oncall: profiler,False
114534,`PYTORCH_NO_CUDA_MEMORY_CACHING=1` with `torch.multiprocessing` shared tensors seems to perform use-after-free triage review module: multiprocessing module: cuda,2023-11-25 13:47:37+00:00,,0,0,triage review module: multiprocessing module: cuda,True
114533,Tensor copied over to multiple GPUs on its own needs reproduction module: cuda module: memory usage triaged,2023-11-25 08:45:32+00:00,,0,4,needs reproduction module: cuda module: memory usage triaged,True
114529,Bug in element-wise multiplication of `torch.sparse_csr_tensor`s on GPU - 0's in result considered significant - PyTorch 2.1.1 module: sparse triaged module: regression,2023-11-25 05:43:02+00:00,,0,7,module: sparse triaged module: regression,True
114527,"[debugging] Given a flag, `FakeTensor`s should store metadata about their creation stacktrace  triage review triaged enhancement oncall: pt2 module: fakeTensor module: pt2-dispatcher",2023-11-25 04:10:08+00:00,,0,0,triage review triaged enhancement oncall: pt2 module: fakeTensor module: pt2-dispatcher,True
114525,[Inductor] StableDiffusion unet with `cudagraphs` backend raises fake tensor mismatch error triaged module: cuda graphs oncall: pt2 module: inductor,2023-11-25 03:13:36+00:00,,1,3,triaged module: cuda graphs oncall: pt2 module: inductor,True
114517,Update error message on cache size exceeded to mention whether it's from `cache_size_limit` or `accumulated_cache_size_limit` triaged oncall: pt2,2023-11-24 19:18:18+00:00,,0,1,triaged oncall: pt2,True
114516,Change `automatic_dynamic_shapes` to trigger on `cache_size_limit` recompiles but not `accumulated_cache_size_limit` recompiles. triage review triaged oncall: pt2 module: dynamic shapes module: dynamo,2023-11-24 19:16:13+00:00,,0,1,triage review triaged oncall: pt2 module: dynamic shapes module: dynamo,True
114511,"Raise `torch._dynamo.config.accumulated_cache_size_limit` higher, or potentially just remove it altogether. triage review triaged oncall: pt2 module: dynamo",2023-11-24 17:18:04+00:00,,0,3,triage review triaged oncall: pt2 module: dynamo,True
114502,_foreach_supported_types is a list type while it is used for `in` check of _default_to_fused_or_foreach method in optimizer.py module: optimizer triaged,2023-11-24 09:15:16+00:00,,0,1,module: optimizer triaged,True
114495,[inductor][cpu]basic_gnn_edgecnn performance regression module: performance oncall: pt2 module: cpu inductor,2023-11-24 03:54:46+00:00,,1,6,module: performance oncall: pt2 module: cpu inductor,False
114494,[inductor][cpu]llama fp32 dynamic single thread performance regression module: performance oncall: pt2 module: cpu inductor,2023-11-24 03:22:59+00:00,,1,3,module: performance oncall: pt2 module: cpu inductor,False
114491,[inductor][cpu]pyhpc_isoneutral_mixing performance regression module: performance oncall: pt2 module: cpu inductor,2023-11-24 02:40:15+00:00,,1,2,module: performance oncall: pt2 module: cpu inductor,False
114489,[inductor][cpu]pyhpc_equation_of_state performance regression module: performance oncall: pt2 module: cpu inductor,2023-11-24 01:56:29+00:00,,1,2,module: performance oncall: pt2 module: cpu inductor,False
114488,[inductor][cpu]swin_base_patch4_window7_224 AMP single thread performance regression module: performance oncall: pt2 module: cpu inductor,2023-11-24 01:30:08+00:00,,2,2,module: performance oncall: pt2 module: cpu inductor,False
114485,Parameters between models don't copy in the C++ Pytroch Frontend under windows module: windows module: cpp triaged,2023-11-23 22:51:15+00:00,,0,0,module: windows module: cpp triaged,True
114483,dynamo supports Tensor.tolist but not Tensor.item oncall: pt2 module: dynamo,2023-11-23 20:55:35+00:00,,0,0,oncall: pt2 module: dynamo,False
114473,[inductor][cpu]cspdarknet53 and tf_mixnet_l AMP single thread performance regression module: performance oncall: pt2 module: cpu inductor,2023-11-23 18:24:43+00:00,,1,2,module: performance oncall: pt2 module: cpu inductor,False
114468,[inductor][cpu]phi_1_5 accuracy failure and AMP single thread performance regression module: performance oncall: pt2 module: cpu inductor,2023-11-23 16:10:38+00:00,,1,10,module: performance oncall: pt2 module: cpu inductor,True
114466,[inductor][cpu]detectron2_fcos_r_50_fpn accuracy and performance failure module: performance oncall: pt2 module: cpu inductor,2023-11-23 15:41:38+00:00,,1,3,module: performance oncall: pt2 module: cpu inductor,True
114465,Installation error: 'CMake Error at third_party/benchmark/CMakeLists.txt:304 (message):   Failed to determine the source files for the regular expression backend' needs reproduction module: build triaged,2023-11-23 15:16:10+00:00,,0,11,needs reproduction module: build triaged,True
114464,inductor silently ignores clone followed by a reshape oncall: pt2,2023-11-23 14:08:17+00:00,,0,4,oncall: pt2,False
114462,Transformer with convolutional position wise feed forward network  module: nn triaged needs research,2023-11-23 13:14:53+00:00,,0,1,module: nn triaged needs research,True
114461,DISABLED test_make_fx_symbolic_exhaustive_special_laguerre_polynomial_l_cpu_float32 (__main__.TestProxyTensorOpInfoCPU) triaged module: flaky-tests skipped module: ProxyTensor,2023-11-23 12:45:46+00:00,,0,1,triaged module: flaky-tests skipped module: ProxyTensor,False
114458,The behavior of Using different device in Autocast context  triaged module: amp (automated mixed precision),2023-11-23 11:28:34+00:00,,0,2,triaged module: amp (automated mixed precision),True
114455,Torch Cpu Memory Leak with FastApi uvicorn. needs reproduction module: memory usage triaged,2023-11-23 09:36:16+00:00,,0,5,needs reproduction module: memory usage triaged,True
114450,[AOTInductor] Need support to export freezing model oncall: quantization feature oncall: pt2,2023-11-23 07:38:23+00:00,,1,2,oncall: quantization feature oncall: pt2,False
114440,There seems to be redundant calling of findOp in findSchemaOrThrow method of Dispatcher.cpp triaged module: dispatch,2023-11-23 04:09:16+00:00,,0,1,triaged module: dispatch,True
114439,DISABLED test_variant_consistency_eager_linalg_lu_factor_cuda_float32 (__main__.TestCommonCUDA) triaged module: flaky-tests skipped module: unknown,2023-11-23 03:39:29+00:00,,0,1,triaged module: flaky-tests skipped module: unknown,False
114415,AOTAutograd should detect aliasing of inputs that happens *below* subclasses module: __torch_dispatch__ oncall: pt2 module: aotdispatch module: pt2-dispatcher,2023-11-22 22:36:03+00:00,,0,0,module: __torch_dispatch__ oncall: pt2 module: aotdispatch module: pt2-dispatcher,False
114414,[BE] remove SmallVector optimization in PyInterpreter.cpp when storing custom sizes triaged module: __torch_dispatch__ module: dynamic shapes,2023-11-22 22:28:48+00:00,,0,0,triaged module: __torch_dispatch__ module: dynamic shapes,True
114413,Support sending __torch_dispatch__ subclasses in torch.compile that do not desugar module: __torch_dispatch__ oncall: pt2 module: pt2-dispatcher,2023-11-22 22:22:49+00:00,,0,2,module: __torch_dispatch__ oncall: pt2 module: pt2-dispatcher,False
114412,torch.compile <> __torch_dispatch__ support tracker issue module: __torch_dispatch__ oncall: pt2 module: aotdispatch module: pt2-dispatcher,2023-11-22 22:18:44+00:00,,0,1,module: __torch_dispatch__ oncall: pt2 module: aotdispatch module: pt2-dispatcher,True
114411,higher order ops + torch.compile + __torch_dispatch__ subclasses module: __torch_dispatch__ oncall: pt2 module: higher order operators module: pt2-dispatcher,2023-11-22 22:18:17+00:00,,0,0,module: __torch_dispatch__ oncall: pt2 module: higher order operators module: pt2-dispatcher,False
114410,__torch_dispatch__ + compile: backward guards module: __torch_dispatch__ oncall: pt2 module: aotdispatch module: pt2-dispatcher,2023-11-22 22:08:43+00:00,,0,3,module: __torch_dispatch__ oncall: pt2 module: aotdispatch module: pt2-dispatcher,False
114408,DISABLED test_make_fx_symbolic_exhaustive_special_i1_cpu_float32 (__main__.TestProxyTensorOpInfoCPU) triaged module: flaky-tests skipped module: ProxyTensor,2023-11-22 21:39:21+00:00,,0,2,triaged module: flaky-tests skipped module: ProxyTensor,False
114406,torch.onnx.dynamo_export functionalization does not support aten.add_.Tensor module: onnx triaged onnx-triaged release notes: onnx,2023-11-22 21:36:22+00:00,,0,0,module: onnx triaged onnx-triaged release notes: onnx,False
114405,__torch_dispatch__ + compile: extra guards high priority triaged module: __torch_dispatch__ oncall: pt2 module: pt2-dispatcher,2023-11-22 21:34:37+00:00,,0,4,high priority triaged module: __torch_dispatch__ oncall: pt2 module: pt2-dispatcher,True
114403,refactor TracingContext to take a more limited subset of ViewAndMutationMeta good first issue oncall: pt2 module: aotdispatch module: pt2-dispatcher,2023-11-22 21:23:34+00:00,,0,5,good first issue oncall: pt2 module: aotdispatch module: pt2-dispatcher,True
114401,torch.compile + subclasses: input is duplicate of another input triaged enhancement module: __torch_dispatch__ oncall: pt2 module: pt2-dispatcher,2023-11-22 21:18:36+00:00,,0,0,triaged enhancement module: __torch_dispatch__ oncall: pt2 module: pt2-dispatcher,False
114400,torch.compile + subclasses: input aliases another input triaged module: __torch_dispatch__ oncall: pt2 module: pt2-dispatcher,2023-11-22 21:17:15+00:00,,0,0,triaged module: __torch_dispatch__ oncall: pt2 module: pt2-dispatcher,False
