function_name,param_names,param_types,is_optional,return_type,documentation_length
tf.hessians,"['ys', 'xs', 'name', 'colocate_gradients_with_ops', 'gate_gradients', 'aggregation_method']","['tensor', 'tensor', 'hessians', 'details', 'details', 'details']","[False, False, True, False, False, False]",None,263
tf.cast,"['x', 'dtype', 'name']","['bfloat16', 'destination', 'name']","[False, False, True]",None,375
tf.scatter_nd,"['updates', 'shape', 'name']","['output', 'tensor', 'name']","[False, False, True]",None,1015
tf.register_tensor_conversion_function,"['base_type', 'conversion_func', 'priority']","['accepts', 'base_type', 'conversion']","[False, False, True]",None,294
tf.cond,"['pred', 'true_fn', 'false_fn', 'strict', 'name']","['false_fn', 'None', 'None', 'strict', 'tensor']","[False, False, False, False, True]",None,651
tf.global_variables,['scope'],['attribute'],[True],None,173
tf.realdiv,"['y', 'name']","['must', 'name']","[False, True]",None,158
tf.pad,"['tensor', 'paddings', 'mode', 'name', 'constant_values']","['tensor', 'int32', 'constant', 'name', 'tensor']","[False, False, False, True, False]",None,652
tf.load_op_library,['library_filename'],['file'],[False],None,185
tf.sort,"['values', 'axis', 'direction', 'name']","['tensor', 'axis', 'direction', 'name']","[False, False, False, True]",None,260
tf.convert_to_tensor,"['value', 'dtype', 'name', 'preferred_dtype', 'dtype_hint']","['conversion', 'tensor', 'name', 'tensor', 'meaning']","[False, True, True, True, False]",None,499
tf.extract_volume_patches,['ksizes'],['dimension'],[False],None,281
tf.get_session_tensor,"['handle', 'dtype', 'name']","['tensor', 'tensor', 'tensor']","[False, False, True]",None,241
tf.rank,"['input', 'name']","['sparsetensor', 'name']","[False, True]",None,231
tf.convert_to_tensor_or_indexed_slices,"['value', 'dtype', 'name']","['tensor', 'dtype', 'name']","[False, True, True]",None,159
tf.map_fn,"['fn', 'elems', 'dtype', 'parallel_iterations', 'back_prop', 'swap_memory', 'infer_shape', 'name']","['argument', 'tensor', 'dtype', 'building', 'enables', 'gpucpu', 'disables', 'tensor']","[False, False, True, True, True, True, True, True]",None,1113
tf.get_variable,"['name', 'shape', 'dtype', 'initializer', 'regularizer', 'trainable', 'collections', 'caching_device', 'partitioner', 'validate_shape', 'use_resource', 'constraint', 'synchronization', 'aggregation']","['name', 'shape', 'defaults', 'false', 'None', 'collection', 'collections', 'None', 'axis', 'default', 'argument', 'constraints', 'auto', 'class']","[False, False, False, False, False, False, False, True, True, False, False, True, False, False]",None,1045
tf.convert_to_tensor_or_sparse_tensor,"['value', 'dtype', 'name']","['conversion', 'tensor', 'name']","[False, True, True]",None,135
tf.scatter_div,"['updates', 'use_locking', 'name']","['tensor', 'behavior', 'name']","[False, True, True]",None,392
tf.variable_creator_scope,['variable_creator'],['creator'],[False],None,616
tf.clip_by_norm,"['t', 'clip_norm', 'axes', 'name']","['indexedslices', 'clipping', 'None', 'name']","[False, False, False, True]",None,369
tf.gradients,"['ys', 'xs', 'grad_ys', 'name', 'colocate_gradients_with_ops', 'gate_gradients', 'aggregation_method', 'stop_gradients', 'unconnected_gradients']","['tensor', 'tensor', 'tensor', 'gradients', 'gradients', 'conditions', 'aggregationmethod', 'tensor', 'tensor']","[False, False, True, True, False, False, False, True, True]",None,935
tf.TensorArray,"['dtype', 'handle', 'flow', 'colocate_with_first_write_call', 'name']","['data', 'tensor', 'float', 'context', 'name']","[False, True, True, False, True]",None,1569
tf.Graph,"['name', 'value']","['class', 'collection']","[False, False]",None,5357
tf.TextLineReader,"['skip_header_lines', 'name']","['beginning', 'name']","[True, True]",None,715
tf.stop_gradient,"['input', 'name']","['tensor', 'name']","[False, True]",None,267
tf.is_variable_initialized,['variable'],['variable'],[False],None,103
tf.to_int32,"['x', 'name']","['indexedslices', 'name']","[False, True]",None,127
tf.clip_by_global_norm,"['t_list', 'clip_norm', 'use_norm', 'name']","['None', 'ratio', 'float', 'name']","[False, False, True, True]",list,409
tf.to_complex128,"['x', 'name']","['indexedslices', 'name']","[False, True]",None,127
tf.broadcast_static_shape,"['shape_x', 'shape_y']","['tensorshape', 'tensorshape']","[False, False]",None,175
tf.tensor_scatter_nd_sub,"['tensor', 'updates', 'name']","['tensor', 'tensor', 'name']","[False, False, True]",None,956
tf.arg_min,['name'],['name'],[True],None,305
tf.TensorShape,['dims'],['None'],[False],None,1662
tf.wrap_function,"['fn', 'signature', 'name']","['function', 'arguments', 'function']","[False, False, True]",None,512
tf.get_collection_ref,['key'],['class'],[False],None,138
tf.guarantee_const,"['input', 'name']","['tensor', 'name']","[False, True]",None,123
tf.sparse_matmul,"['transpose_a', 'transpose_b', 'a_is_sparse', 'b_is_sparse', 'name']","['bool', 'bool', 'bool', 'bool', 'name']","[True, True, True, True, True]",None,283
tf.LMDBReader,"['name', 'options']","['name', 'lmdbrecordoptions']","[True, True]",None,695
tf.to_complex64,"['x', 'name']","['indexedslices', 'name']","[False, True]",None,127
tf.py_func,"['inp', 'stateful', 'name']","['list', 'bool', 'name']","[False, False, True]",None,569
tf.TFRecordReader,"['name', 'options']","['name', 'object']","[True, True]",None,693
tf.unique_with_counts,"['x', 'name']","['tensor', 'name']","[False, True]",None,353
tf.shape,"['input', 'name', 'out_type']","['sparsetensor', 'name', 'defaults']","[False, True, True]",None,181
tf.get_local_variable,"['name', 'shape', 'dtype', 'initializer', 'regularizer', 'collections', 'caching_device', 'partitioner', 'validate_shape', 'use_resource', 'constraint', 'synchronization', 'aggregation']","['name', 'shape', 'defaults', 'false', 'None', 'collections', 'None', 'axis', 'default', 'argument', 'constraints', 'auto', 'class']","[False, False, False, False, False, False, True, True, False, False, True, False, False]",None,1045
tf.get_static_value,"['tensor', 'partial']","['tensor', 'None']","[False, False]",None,211
tf.Module,['method'],['method'],[False],None,1050
tf.GradientTape,"['persistent', 'watch_accessed_variables']","['bool', 'bool']","[False, False]",None,2367
tf.foldr,"['fn', 'elems', 'initializer', 'parallel_iterations', 'back_prop', 'swap_memory', 'name']","['None', 'tensor', 'tensor', 'iterations', 'enables', 'gpucpu', 'tensor']","[False, False, True, True, True, True, True]",None,509
tf.concat,"['values', 'axis', 'name']","['list', 'rank', 'name']","[False, False, True]",None,699
tf.InteractiveSession,"['target', 'graph', 'config']","['defaults', 'graph', 'configproto']","[True, True, True]",None,2805
tf.shape_n,"['input', 'out_type', 'name']","['list', 'defaults', 'name']","[False, True, True]",None,126
tf.print,"['inputs', 'summarize', 'sep', 'end', 'name']","['tensor', 'tensor', 'defaults', 'character', 'name']","[False, False, False, False, True]",None,961
tf.nondifferentiable_batch_function,"['num_batch_threads', 'max_batch_size', 'batch_timeout_micros', 'allowed_batch_sizes', 'max_enqueued_batches', 'autograph']","['batches', 'batch', 'batch', 'batch', 'batch', 'autograph']","[False, False, False, True, False, False]",None,359
tf.boolean_mask,"['tensor', 'mask', 'name', 'axis']","['tensor', 'tensor', 'name', 'tensor']","[False, False, True, False]",None,488
tf.make_tensor_proto,"['values', 'dtype', 'shape', 'verify_shape', 'allow_broadcast']","['tensorproto', 'tensor', 'tensor', 'bool', 'bool']","[False, True, False, False, False]",None,474
tf.clip_by_average_norm,"['t', 'clip_norm', 'name']","['tensor', 'clipping', 'name']","[False, False, True]",None,276
tf.Operation,"['node_def', 'g', 'inputs', 'output_types', 'control_inputs', 'input_types', 'original_op', 'op_def']","['attribute', 'graph', 'inputs', 'dtype', 'tensor', 'tensor', 'example', 'op']","[False, False, False, False, False, False, True, True]",None,1013
tf.broadcast_to,"['input', 'name']","['tensor', 'name']","[False, True]",None,285
tf.fixed_size_partitioner,"['num_shards', 'axis']","['int', 'axis']","[False, False]",None,86
tf.scatter_update,"['ref', 'updates', 'use_locking', 'name']","['variable', 'tensor', 'assignment', 'name']","[False, False, True, True]",None,359
tf.IdentityReader,['name'],['name'],[True],None,714
tf.unstack,"['value', 'num', 'axis', 'name']","['r', 'None', 'r', 'name']","[False, False, False, True]",None,366
tf.add_to_collection,"['name', 'value']","['class', 'collection']","[False, False]",None,119
tf.batch_scatter_update,"['ref', 'indices', 'updates', 'use_locking', 'name']","['onto', 'indices', 'tensor', 'bool', 'name']","[False, False, False, False, True]",None,452
tf.control_dependencies,['control_inputs'],['None'],[False],None,149
tf.floor_div,"['y', 'name']","['must', 'name']","[False, True]",None,133
tf.make_template,"['name_', 'func_', 'create_scope_now_', 'unique_name_', 'custom_getter_', 'kwargs']","['_n', 'function', 'bool', 'None', 'custom', 'arguments']","[False, False, False, False, True, False]",None,998
tf.stack,"['values', 'axis', 'name']","['list', 'axis', 'name']","[False, False, True]",output,418
tf.tile,"['input', 'name']","['tensor', 'name']","[False, True]",None,232
tf.batch_to_space_nd,['input'],['batch'],[False],None,1406
tf.scatter_mul,"['updates', 'use_locking', 'name']","['tensor', 'behavior', 'name']","[False, True, True]",None,392
tf.scatter_add,"['ref', 'updates', 'use_locking', 'name']","['variable', 'tensor', 'assignment', 'name']","[False, False, True, True]",None,349
tf.trainable_variables,['scope'],['attribute'],[True],None,149
tf.case,"['pred_fn_pairs', 'default', 'exclusive', 'strict', 'name']","['tensor', 'tensor', 'iff', 'strict', 'name']","[False, True, False, False, True]",None,698
tf.assign_sub,"['value', 'use_locking', 'name']","['dtype', 'behavior', 'name']","[False, True, True]",None,246
tf.no_gradient,['op_type'],['field'],[False],None,242
tf.scan,"['fn', 'elems', 'initializer', 'parallel_iterations', 'back_prop', 'swap_memory', 'infer_shape', 'reverse', 'name']","['arguments', 'tensor', 'tensor', 'iterations', 'enables', 'gpucpu', 'disables', 'tensor', 'tensor']","[False, False, True, True, True, True, True, True, True]",None,1068
tf.unravel_index,"['dims', 'name']","['array', 'name']","[False, True]",None,307
tf.histogram_fixed_width_bins,"['values', 'value_range', 'nbins', 'dtype', 'name']","['numeric', 'dtype', 'bins', 'dtype', 'defaults']","[False, False, False, False, False]",None,383
tf.random_uniform_initializer,"['minval', 'maxval', 'seed', 'dtype']","['tensor', 'tensor', 'behavior', 'argument']","[False, False, False, False]",None,387
tf.clip_by_value,"['t', 'clip_value_min', 'clip_value_max', 'name']","['indexedslices', 'shape', 'shape', 'name']","[False, False, False, True]",None,337
tf.strided_slice,"['input_', 'begin', 'end', 'strides', 'begin_mask', 'end_mask', 'ellipsis_mask', 'new_axis_mask', 'shrink_axis_mask', 'var', 'name']","['tensor', 'int32', 'int32', 'int32', 'mask', 'mask', 'mask', 'mask', 'mask', 'None', 'name']","[False, False, False, False, False, False, False, False, False, False, True]",None,938
tf.argsort,"['values', 'axis', 'direction', 'stable', 'name']","['tensor', 'axis', 'direction', 'tensor', 'name']","[False, False, False, False, True]",None,395
tf.truncatediv,"['y', 'name']","['must', 'name']","[False, True]",None,189
tf.vectorized_map,"['fn', 'elems']","['argument', 'tensor']","[False, False]",None,701
tf.is_tensor,['x'],['object'],[False],None,122
tf.required_space_to_batch_paddings,"['input_shape', 'block_shape', 'base_paddings', 'name']","['int32', 'int32', 'amount', 'name']","[False, False, True, True]",None,273
tf.FixedLengthRecordReader,"['record_bytes', 'header_bytes', 'footer_bytes', 'hop_bytes', 'name', 'encoding']","['int', 'defaults', 'defaults', 'defaults', 'name', 'None']","[False, True, True, True, True, False]",None,748
tf.string_split,"['source', 'sep', 'skip_empty', 'delimiter', 'name']","['str', 'character', 'bool', 'alias', 'name']","[False, False, False, False, True]",None,471
tf.space_to_batch_nd,['input'],['batch'],[False],None,1346
tf.glorot_uniform_initializer,"['seed', 'dtype']","['behavior', 'argument']","[False, False]",None,438
tf.function,"['input_signature', 'experimental_autograph_options', 'experimental_relax_shapes']","['None', 'tensor', 'retracing']","[False, False, False]",None,2478
tf.Dimension,['other'],['as_dimension'],[False],None,2556
tf.switch_case,"['branch_index', 'branch_fns', 'default', 'name']","['branch_fns', 'tensor', 'tensor', 'name']","[False, False, True, True]",None,623
tf.variable_axis_size_partitioner,"['max_shard_bytes', 'bytes_per_string_element', 'max_shards']","['shard', 'estimate', 'int']","[False, False, False]",None,275
tf.gather,"['params', 'validate_indices', 'batch_dims', 'name']","['must', 'nothing', 'batch', 'name']","[False, False, False, True]",None,758
tf.local_variables,['scope'],['attribute'],[True],None,204
tf.add_to_collections,"['names', 'value']","['class', 'collections']","[False, False]",None,116
tf.ConditionalAccumulatorBase,"['dtype', 'shape', 'accumulator_ref']","['datatype', 'gradients', 'accumulator']","[False, False, False]",None,285
tf.OptionalSpec,['other'],['typespec'],[False],None,214
tf.create_partitioned_variables,"['shape', 'slicing']","['integers', 'dimension']","[False, False]",None,471
tf.while_loop,"['cond', 'body', 'loop_vars', 'shape_invariants', 'parallel_iterations', 'back_prop', 'swap_memory', 'name', 'maximum_iterations', 'return_same_structure']","['condition', 'body', 'array', 'invariants', 'int', 'backprop', 'gpucpu', 'tensor', 'anded', 'execution']","[False, False, False, False, False, False, False, True, True, False]",None,1680
tf.placeholder,"['dtype', 'shape', 'name']","['tensor', 'tensor', 'name']","[False, True, True]",None,298
tf.report_uninitialized_variables,"['var_list', 'name']","['defaults', 'name']","[False, True]",None,179
tf.reshape,"['tensor', 'name']","['tensor', 'name']","[False, True]",None,787
tf.constant,"['value', 'dtype', 'shape', 'name', 'verify_shape']","['dtype', 'tensor', 'tensor', 'tensor', 'bool']","[False, False, True, True, False]",None,499
tf.zeros_initializer,"['shape', 'dtype', 'partition_info']","['tensor', 'tensor', 'tensor']","[False, True, True]",None,354
tf.numpy_function,"['inp', 'stateful', 'name']","['list', 'bool', 'name']","[False, False, True]",None,572
tf.device,['device_name_or_function'],['context'],[False],None,103
tf.moving_average_variables,['scope'],['attribute'],[True],None,158
tf.assert_variables_initialized,['var_list'],['defaults'],[False],None,200
tf.tensor_scatter_nd_update,"['tensor', 'updates', 'name']","['tensor', 'tensor', 'name']","[False, False, True]",None,974
tf.random_normal_initializer,"['mean', 'stddev', 'seed', 'dtype']","['tensor', 'tensor', 'behavior', 'argument']","[False, False, False, False]",None,386
tf.Print,"['input_', 'data', 'message', 'first_n', 'summarize', 'name']","['tensor', 'tensor', 'error', 'default', 'tensor', 'name']","[False, False, False, False, False, True]",None,421
tf.to_float,"['x', 'name']","['indexedslices', 'name']","[False, True]",None,127
tf.reverse_sequence,"['input', 'seq_axis', 'batch_axis', 'name']","['input', 'dimension', 'defaults', 'name']","[False, False, True, True]",None,895
tf.decode_raw,"['input_bytes', 'out_type', 'little_endian', 'name', 'bytes']","['array', 'float', 'byte', 'name', 'input_bytes']","[False, False, False, True, False]",None,220
tf.grad_pass_through,['f'],['f'],[False],None,353
tf.ReaderBase,"['reader_ref', 'supports_serialize']","['operation', 'implementation']","[False, False]",None,755
tf.Variable,"['initial_value', 'trainable', 'collections', 'validate_shape', 'caching_device', 'name', 'variable_def', 'dtype', 'expected_shape', 'import_scope', 'constraint', 'use_resource', 'synchronization', 'aggregation', 'shape']","['argument', 'case', 'collections', 'default', 'None', 'defaults', 'None', 'tensor', 'shape', 'buffer', 'constraints', 'resource', 'auto', 'class', 'None']","[False, False, False, False, True, True, False, False, False, True, True, False, False, False, True]",None,11030
tf.zeros,"['shape', 'dtype', 'name']","['int32', 'element', 'name']","[False, False, True]",None,188
tf.setdiff1d,"['x', 'y', 'name']","['tensor', 'must', 'name']","[False, False, True]",None,322
tf.fingerprint,"['data', 'method', 'name']","['must', 'currently', 'name']","[False, False, True]",None,470
tf.TensorSpec,"['shape', 'dtype', 'name']","['tensor', 'tensor', 'name']","[False, False, True]",None,362
tf.sparse_to_dense,"['sparse_indices', 'output_shape', 'sparse_values', 'default_value', 'validate_indices', 'name']","['index', 'tensor', 'indices', 'defaults', 'indices', 'name']","[False, False, False, False, False, True]",None,432
tf.count_up_to,"['limit', 'name']","['outofrange', 'name']","[False, True]",None,174
tf.get_session_handle,"['data', 'name']","['tensor', 'tensor']","[False, True]",None,242
tf.Session,"['target', 'graph', 'config']","['defaults', 'graph', 'buffer']","[True, True, True]",None,3135
tf.delete_session_tensor,"['handle', 'name']","['tensor', 'tensor']","[False, True]",None,131
tf.size,"['input', 'name', 'out_type']","['sparsetensor', 'name', 'defaults']","[False, True, True]",None,197
tf.ones_like,"['tensor', 'dtype', 'name', 'optimize']","['tensor', 'bool', 'name', 'tensor']","[False, False, True, False]",None,235
tf.group,"['inputs', 'name']","['tensor', 'name']","[False, True]",None,126
tf.assign_add,"['value', 'use_locking', 'name']","['dtype', 'addition', 'name']","[False, True, True]",None,248
tf.container,['container_name'],['container'],[False],None,76
tf.no_op,['name'],['name'],[True],None,73
tf.repeat,"['input', 'repeats', 'axis', 'name']","['tensor', 'None', 'array', 'name']","[False, False, False, False]",None,414
tf.transpose,"['a', 'perm', 'name', 'conjugate']","['tensor', 'dimensions', 'name', 'bool']","[False, False, True, True]",None,583
tf.TypeSpec,['other'],['typespec'],[False],None,272
tf.scatter_max,"['updates', 'use_locking', 'name']","['tensor', 'behavior', 'name']","[False, True, True]",None,412
tf.einsum,"['equation', 'inputs', 'name']","['contraction', 'contract', 'name']","[False, False, True]",None,701
tf.reverse,['name'],['name'],[True],None,712
tf.identity_n,"['input', 'name']","['list', 'name']","[False, True]",None,222
tf.batch_to_space,['input'],['tensor'],[False],None,281
tf.initialize_all_tables,['name'],['initialization'],[True],None,112
tf.to_bfloat16,"['x', 'name']","['indexedslices', 'name']","[False, True]",None,127
tf.IndexedSlicesSpec,"['shape', 'dtype', 'indices_dtype', 'dense_shape_dtype', 'indices_shape']","['None', 'indexedslices', 'indexedslices', 'tensor', 'component']","[False, False, False, False, False]",None,283
tf.min_max_variable_partitioner,"['max_partitions', 'axis', 'min_slice_size', 'bytes_per_string_element']","['bound', 'axis', 'defaults', 'estimate']","[False, False, False, False]",None,185
tf.placeholder_with_default,"['input', 'shape', 'name']","['default', 'tensor', 'name']","[False, False, True]",None,115
tf.assign,"['ref', 'value', 'validate_shape', 'use_locking', 'name']","['may', 'dtype', 'ref', 'assignment', 'name']","[False, False, True, True, True]",None,245
tf.to_int64,"['x', 'name']","['indexedslices', 'name']","[False, True]",None,127
tf.scatter_nd_update,"['ref', 'updates', 'use_locking', 'name']","['variable', 'tensor', 'assignment', 'name']","[False, False, True, True]",None,501
tf.variable_scope,"['default_name', 'values', 'initializer', 'regularizer', 'caching_device', 'partitioner', 'custom_getter', 'reuse', 'dtype', 'use_resource', 'constraint', 'auxiliary_name_scope']","['None', 'arguments', 'default', 'default', 'default', 'default', 'custom', 'None', 'defaults', 'argument', 'constraints', 'argument']","[False, False, False, False, False, False, False, False, False, False, True, False]",None,1683
tf.broadcast_dynamic_shape,"['shape_x', 'shape_y']","['int', 'int']","[False, False]",None,203
tf.tensordot,"['a', 'b', 'axes', 'name']","['float32', 'tensor', 'axes', 'name']","[False, False, False, True]",None,625
tf.scatter_nd_add,"['updates', 'use_locking', 'name']","['tensor', 'assignment', 'name']","[False, True, True]",None,537
tf.dynamic_partition,"['data', 'partitions', 'num_partitions', 'name']","['tensor', 'indices', 'int', 'name']","[False, False, False, True]",None,399
tf.meshgrid,"['args', 'name']","['rank', 'name']","[False, True]",list,326
tf.ones,"['shape', 'dtype', 'name']","['int32', 'element', 'name']","[False, False, True]",None,174
tf.WholeFileReader,['name'],['name'],[True],None,720
tf.RaggedTensorSpec,"['shape', 'dtype', 'ragged_rank', 'row_splits_dtype']","['None', 'raggedtensor', 'defaults', 'tensor']","[False, False, False, False]",None,279
tf.Tensor,"['op', 'value_index', 'dtype']","['tensor', 'tensor', 'tensor']","[False, False, False]",None,7125
tf.split,"['value', 'num_or_size_splits', 'axis', 'num', 'name']","['tensor', 'axis', 'rank', 'number', 'name']","[False, False, False, True, True]",None,482
tf.RegisterGradient,['op_type'],['field'],[False],None,283
tf.scatter_nd_sub,"['updates', 'use_locking', 'name']","['tensor', 'assignment', 'name']","[False, True, True]",None,549
tf.scatter_sub,"['updates', 'use_locking', 'name']","['tensor', 'behavior', 'name']","[False, True, True]",None,392
tf.tensor_scatter_nd_add,"['tensor', 'updates', 'name']","['tensor', 'tensor', 'name']","[False, False, True]",None,919
tf.timestamp,['name'],['name'],[True],None,105
tf.load_library,['library_location'],['file'],[False],None,159
tf.arg_max,['name'],['name'],[True],None,307
tf.recompute_grad,['f'],['f'],[False],None,203
tf.roll,"['input', 'name']","['tensor', 'name']","[False, True]",None,534
tf.where,"['condition', 'x', 'y', 'name']","['bool', 'condition', 'tensor', 'name']","[False, False, False, True]",None,473
tf.name_scope,"['name', 'default_name', 'values']","['argument', 'None', 'arguments']","[False, False, False]",None,363
tf.foldl,"['fn', 'elems', 'initializer', 'parallel_iterations', 'back_prop', 'swap_memory', 'name']","['None', 'tensor', 'tensor', 'iterations', 'enables', 'gpucpu', 'tensor']","[False, False, True, True, True, True, True]",None,518
tf.one_hot,"['indices', 'depth', 'dtype', 'name']","['indices', 'depth', 'tensor', 'name']","[False, False, False, True]",None,983
tf.dynamic_stitch,"['indices', 'data', 'name']","['int32', 'indices', 'name']","[False, False, True]",None,750
tf.glorot_normal_initializer,"['seed', 'dtype']","['behavior', 'argument']","[False, False]",None,443
tf.tuple,"['tensors', 'name', 'control_inputs']","['None', 'name', 'list']","[False, True, False]",None,232
tf.load_file_system_library,['library_filename'],['file'],[False],None,141
tf.fill,"['value', 'name']","['tensor', 'name']","[False, True]",None,295
tf.get_collection,"['key', 'scope']","['class', 'attribute']","[False, True]",None,194
tf.make_ndarray,['tensor'],['tensorproto'],[False],None,96
tf.range,"['start', 'limit', 'delta', 'dtype', 'name']","['None', 'None', 'defaults', 'tensor', 'defaults']","[False, False, False, False, False]",None,385
tf.parallel_stack,"['values', 'name']","['list', 'name']","[False, True]",output,361
tf.to_double,"['x', 'name']","['indexedslices', 'name']","[False, True]",None,127
tf.squeeze,"['input', 'axis', 'name', 'squeeze_dims']","['input', 'rank', 'name', 'argument']","[False, True, True, False]",None,424
tf.sequence_mask,"['lengths', 'maxlen', 'dtype', 'name']","['tensor', 'tensor', 'tensor', 'name']","[False, False, False, False]",None,345
tf.searchsorted,"['sorted_sequence', 'values', 'side', 'out_type', 'name']","['nd', 'nd', 'left', 'default', 'name']","[False, False, False, False, True]",None,366
tf.sets.difference,"['a', 'b', 'aminusb', 'validate_indices']","['b', 'indices', 'b', 'b']","[False, False, False, False]",None,745
tf.sets.intersection,"['a', 'b', 'validate_indices']","['b', 'indices', 'b']","[False, False, False]",None,669
tf.sets.union,"['a', 'b', 'validate_indices']","['b', 'indices', 'b']","[False, False, False]",None,785
tf.sets.size,"['a', 'validate_indices']","['indices', 'indices']","[False, False]",None,200
tf.Variable.SaveSliceInfo,"['full_name', 'full_shape', 'var_offset', 'var_shape', 'save_slice_info_def', 'import_scope']","['name', 'int', 'int', 'int', 'None', 'buffer']","[False, False, False, False, False, True]",None,295
tf.image.resize_images,"['images', 'method', 'align_corners', 'preserve_aspect_ratio', 'name']","['batch', 'defaults', 'tensor', 'aspect', 'name']","[False, False, False, False, True]",None,480
tf.image.random_saturation,"['image', 'lower', 'upper', 'seed']","['dimension', 'float', 'float', 'conjunction']","[False, False, False, False]",None,213
tf.image.convert_image_dtype,"['image', 'dtype', 'saturate', 'name']","['image', 'dtype', 'casting', 'name']","[False, False, False, True]",None,369
tf.image.crop_to_bounding_box,"['image', 'offset_height', 'offset_width', 'target_height', 'target_width']","['batch', 'coordinate', 'coordinate', 'height', 'result']","[False, False, False, False, False]",None,279
tf.image.non_max_suppression_padded,"['boxes', 'scores', 'max_output_size', 'iou_threshold', 'score_threshold', 'pad_to_max_output_size', 'name']","['float', 'float', 'boxes', 'float', 'float', 'bool', 'name']","[False, False, False, False, False, False, True]",tensor,422
tf.image.resize_area,"['align_corners', 'name']","['tensor', 'name']","[True, True]",None,317
tf.image.central_crop,['image'],['float'],[False],None,309
tf.image.resize_image_with_pad,"['image', 'target_height', 'target_width', 'method', 'align_corners']","['batch', 'height', 'target', 'image', 'tensor']","[False, False, False, False, False]",None,274
tf.image.hsv_to_rgb,['name'],['name'],[True],None,180
tf.image.random_jpeg_quality,"['image', 'min_jpeg_quality', 'max_jpeg_quality', 'seed']","['dimension', 'jpeg', 'jpeg', 'conjunction']","[False, False, False, False]",None,210
tf.image.extract_patches,"['images', 'sizes', 'padding', 'name']","['batch', 'must', 'algorithm', 'name']","[False, False, False, True]",None,1081
tf.image.crop_and_resize,"['boxes', 'box_ind', 'crop_size', 'extrapolation_value', 'name']","['tensor', 'tensor', 'tensor', 'float', 'name']","[False, False, False, True, True]",None,688
