Issue Number,Issue Title,Issue Body
111840,Multiplying the same tensor as part of a batch results in numerically different outputs,"### 🐛 Describe the bug

Multiplying a tensor A of shape [1, 4, 1024] by tensor B [1024, 2048] and then slicing the index [:, 0:1, :] of the output results in numerically different output than if you slice tensor A first and then do the multiplication.

```
# Code to reproduce the issue:
import torch


torch.set_printoptions(precision=8)

a = torch.randn((1, 4, 1024), dtype=torch.float32)
b = torch.randn((1024, 2048), dtype=torch.float32)

out1 = torch.matmul(a, b)[:, 0:1, :]
print(out1, out1.shape, out1.dtype)
a2 = a[:, 0:1, :]
out2 = torch.matmul(a2, b)
print(out2, out2.shape, out2.dtype)

print(""all close:"", torch.allclose(out1, out2))
```

Output:
```
tensor([[[  0.65285444, 119.79240417, -89.60567474,  ...,  13.46691799,
           -8.47685242,   8.73911667]]]) torch.Size([1, 1, 2048]) torch.float32
tensor([[[  0.65286279, 119.79228973, -89.60571289,  ...,  13.46692467,
           -8.47685051,   8.73912144]]]) torch.Size([1, 1, 2048]) torch.float32
all close: False
```

### Versions

Collecting environment information...
PyTorch version: 2.0.0
Is debug build: False
CUDA used to build PyTorch: 12.1
ROCM used to build PyTorch: N/A

OS: Ubuntu 22.04.2 LTS (x86_64)
GCC version: (Ubuntu 11.3.0-1ubuntu1~22.04) 11.3.0
Clang version: Could not collect
CMake version: version 3.22.1
Libc version: glibc-2.35

Python version: 3.10.6 (main, Mar 10 2023, 10:55:28) [GCC 11.3.0] (64-bit runtime)
Python platform: Linux-5.15.0-1045-aws-x86_64-with-glibc2.35
Is CUDA available: True
CUDA runtime version: 12.1.105
CUDA_MODULE_LOADING set to: LAZY
GPU models and configuration:
GPU 0: NVIDIA H100 80GB HBM3
GPU 1: NVIDIA H100 80GB HBM3
GPU 2: NVIDIA H100 80GB HBM3
GPU 3: NVIDIA H100 80GB HBM3
GPU 4: NVIDIA H100 80GB HBM3
GPU 5: NVIDIA H100 80GB HBM3
GPU 6: NVIDIA H100 80GB HBM3
GPU 7: NVIDIA H100 80GB HBM3

Nvidia driver version: 535.104.12
cuDNN version: Probably one of the following:
/usr/lib/x86_64-linux-gnu/libcudnn.so.8.9.1
/usr/lib/x86_64-linux-gnu/libcudnn_adv_infer.so.8.9.1
/usr/lib/x86_64-linux-gnu/libcudnn_adv_train.so.8.9.1
/usr/lib/x86_64-linux-gnu/libcudnn_cnn_infer.so.8.9.1
/usr/lib/x86_64-linux-gnu/libcudnn_cnn_train.so.8.9.1
/usr/lib/x86_64-linux-gnu/libcudnn_ops_infer.so.8.9.1
/usr/lib/x86_64-linux-gnu/libcudnn_ops_train.so.8.9.1
HIP runtime version: N/A
MIOpen runtime version: N/A
Is XNNPACK available: True

CPU:
Architecture:                       x86_64
CPU op-mode(s):                     32-bit, 64-bit
Address sizes:                      48 bits physical, 48 bits virtual
Byte Order:                         Little Endian
CPU(s):                             96
On-line CPU(s) list:                0-95
Vendor ID:                          AuthenticAMD
Model name:                         AMD EPYC 7R13 Processor
CPU family:                         25
Model:                              1
Thread(s) per core:                 1
Core(s) per socket:                 48
Socket(s):                          2
Stepping:                           1
BogoMIPS:                           5300.00
Flags:                              fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 ht syscall nx mmxext fxsr_opt pdpe1gb rdtscp lm constant_tsc rep_good nopl nonstop_tsc cpuid extd_apicid aperfmperf tsc_known_freq pni pclmulqdq monitor ssse3 fma cx16 pcid sse4_1 sse4_2 x2apic movbe popcnt aes xsave avx f16c rdrand hypervisor lahf_lm cmp_legacy cr8_legacy abm sse4a misalignsse 3dnowprefetch topoext perfctr_core invpcid_single ssbd ibrs ibpb stibp vmmcall fsgsbase bmi1 avx2 smep bmi2 invpcid rdseed adx smap clflushopt clwb sha_ni xsaveopt xsavec xgetbv1 clzero xsaveerptr rdpru wbnoinvd arat npt nrip_save vaes vpclmulqdq rdpid
Hypervisor vendor:                  KVM
Virtualization type:                full
L1d cache:                          3 MiB (96 instances)
L1i cache:                          3 MiB (96 instances)
L2 cache:                           48 MiB (96 instances)
L3 cache:                           384 MiB (12 instances)
NUMA node(s):                       2
NUMA node0 CPU(s):                  0-47
NUMA node1 CPU(s):                  48-95
Vulnerability Gather data sampling: Not affected
Vulnerability Itlb multihit:        Not affected
Vulnerability L1tf:                 Not affected
Vulnerability Mds:                  Not affected
Vulnerability Meltdown:             Not affected
Vulnerability Mmio stale data:      Not affected
Vulnerability Retbleed:             Not affected
Vulnerability Spec store bypass:    Mitigation; Speculative Store Bypass disabled via prctl and seccomp
Vulnerability Spectre v1:           Mitigation; usercopy/swapgs barriers and __user pointer sanitization
Vulnerability Spectre v2:           Mitigation; Retpolines, IBPB conditional, IBRS_FW, RSB filling, PBRSB-eIBRS Not affected
Vulnerability Srbds:                Not affected
Vulnerability Tsx async abort:      Not affected

Versions of relevant libraries:
[pip3] numpy==1.22.2
[pip3] onnx==1.13.1rc2
[pip3] pytorch-quantization==2.1.2
[pip3] torch==2.0.0
[pip3] torch-tensorrt==1.4.0.dev0
[pip3] torchdata==0.6.0
[pip3] torchtext==0.15.1
[pip3] torchvision==0.15.1
[pip3] triton==2.0.0
[conda] Could not collect"
111837,[dynamo] UnspecializedNNModuleVariable does not implement object identity,"### 🐛 Describe the bug

called from `nn.Modules.named_modules()` where one of the modules are initialized within the compile region.
```
[2023-10-23 14:05:10,051] [1/0] torch._dynamo.symbolic_convert: [DEBUG] break_graph_if_unsupported triggered compile
[2023-10-23 14:05:10,051] [1/0] torch._dynamo.symbolic_convert.__graph_breaks: [DEBUG] Graph break: call_method SetVariable() __contains__ [UnspecializedNNModuleVariable(Linear)] {} from user code at:
[2023-10-23 14:05:10,051] [1/0] torch._dynamo.symbolic_convert.__graph_breaks: [DEBUG]   File ""/home/jonch/Desktop/sdpa.py"", line 911, in <resume in train>
[2023-10-23 14:05:10,051] [1/0] torch._dynamo.symbolic_convert.__graph_breaks: [DEBUG]     m = M(linear, encode=encode)
[2023-10-23 14:05:10,051] [1/0] torch._dynamo.symbolic_convert.__graph_breaks: [DEBUG]   File ""/home/jonch/Desktop/sdpa.py"", line 893, in __init__
[2023-10-23 14:05:10,051] [1/0] torch._dynamo.symbolic_convert.__graph_breaks: [DEBUG]     self.linear.requires_grad_(False)
[2023-10-23 14:05:10,051] [1/0] torch._dynamo.symbolic_convert.__graph_breaks: [DEBUG]   File ""/home/jonch/.local/lib/python3.10/site-packages/torch/nn/modules/module.py"", line 2439, in requires_grad_
[2023-10-23 14:05:10,051] [1/0] torch._dynamo.symbolic_convert.__graph_breaks: [DEBUG]     for p in self.parameters():
[2023-10-23 14:05:10,051] [1/0] torch._dynamo.symbolic_convert.__graph_breaks: [DEBUG]   File ""/home/jonch/.local/lib/python3.10/site-packages/torch/nn/modules/module.py"", line 2192, in parameters
[2023-10-23 14:05:10,051] [1/0] torch._dynamo.symbolic_convert.__graph_breaks: [DEBUG]     for name, param in self.named_parameters(recurse=recurse):
[2023-10-23 14:05:10,051] [1/0] torch._dynamo.symbolic_convert.__graph_breaks: [DEBUG]   File ""/home/jonch/.local/lib/python3.10/site-packages/torch/nn/modules/module.py"", line 2223, in named_parameters
[2023-10-23 14:05:10,051] [1/0] torch._dynamo.symbolic_convert.__graph_breaks: [DEBUG]     gen = self._named_members(
[2023-10-23 14:05:10,051] [1/0] torch._dynamo.symbolic_convert.__graph_breaks: [DEBUG]   File ""/home/jonch/.local/lib/python3.10/site-packages/torch/nn/modules/module.py"", line 2159, in _named_members
[2023-10-23 14:05:10,051] [1/0] torch._dynamo.symbolic_convert.__graph_breaks: [DEBUG]     modules = self.named_modules(prefix=prefix, remove_duplicate=remove_duplicate) if recurse else [(prefix, self)]
[2023-10-23 14:05:10,051] [1/0] torch._dynamo.symbolic_convert.__graph_breaks: [DEBUG]   File ""/home/jonch/.local/lib/python3.10/site-packages/torch/nn/modules/module.py"", line 2369, in named_modules
[2023-10-23 14:05:10,051] [1/0] torch._dynamo.symbolic_convert.__graph_breaks: [DEBUG]     if self not in memo:
```

### Versions

main

cc @ezyang @msaroufim @wconstab @bdhirsh @anijain2305 @zou3519 @voznesenskym @penguinwu @EikanWang @jgong5 @Guobing-Chen @XiaobingSuper @zhuhaozhe @blzheng @wenzhe-nrv @jiayisunx @chenyang78 @aakhundov @kadeng"
111834,"Numerical inaccuracies in ""ddp_apply_optim_in_backward"" unit tests","### 🐛 Describe the bug

After some experiments in https://github.com/pytorch/pytorch/pull/111791 I have replicated an accuracy issue with the gloo backend relating to ddp models using ""apply_optim_in_backwards"" instead of .step() on the CI. This occurs both for CUDA and ROCm.

There are already unit tests in https://github.com/pytorch/pytorch/blob/main/torch/testing/_internal/distributed/distributed_test.py that track this behavior but I have found that torchvision is not present in the distributed CI job causing these tests to only run for a simple linear model in which the bug is not present.

This can be replicated with TOT PyTorch with the following unit test (as long as torchvision is installed):
```
BACKEND=gloo WORLD_SIZE=2 PYTORCH_TEST_WITH_ROCM=1 HIP_VISIBLE_DEVICES=0,1 python3 test/distributed/test_distributed_spawn.py TestDistBackendWithSpawn.test_ddp_apply_optim_in_backward_grad_as_bucket_view_false
```



### Versions

This can be replicated with both CUDA and ROCm CI environments in the distributed workflow if we modify the job to install torchvision as seen here:
https://hud.pytorch.org/pr/111791

cc @mrshenli @pritamdamania87 @zhaojuanmao @satgera @rohan-varma @gqchen @aazzolini @osalpekar @jiayisuse @H-Huang @kwen2501 @awgu @penguinwu @ezyang @albanD @zou3519 @pearu @nikitaved @soulitzer @Lezcano @Varal7 @vincentqb @jbschlosser @janeyx99 @crcrpar"
111830,[aotinductor]14k models: AttributeError: 'int' object has no attribute 'device',"```
python main.py --compile_mode aot_inductor -e ./generated/test_chengchunhsu_EveryPixelMatters.py:FCOSDiscriminator
```

cc @ezyang @msaroufim @wconstab @bdhirsh @anijain2305 @zou3519"
111826,DISABLED test_nested_tensor_indexing_cpu_float16 (__main__.TestNestedTensorDeviceTypeCPU),"Platforms: dynamo

This test was disabled because it is failing in CI. See [recent examples](https://hud.pytorch.org/flakytest?name=test_nested_tensor_indexing_cpu_float16&suite=TestNestedTensorDeviceTypeCPU) and the most recent trunk [workflow logs](https://github.com/pytorch/pytorch/runs/17964762574).

Over the past 3 hours, it has been determined flaky in 4 workflow(s) with 12 failures and 4 successes.

**Debugging instructions (after clicking on the recent samples link):**
DO NOT ASSUME THINGS ARE OKAY IF THE CI IS GREEN. We now shield flaky tests from developers so CI will thus be green but it will be harder to parse the logs.
To find relevant log snippets:
1. Click on the workflow logs linked above
2. Click on the Test step of the job so that it is expanded. Otherwise, the grepping will not work.
3. Grep for `test_nested_tensor_indexing_cpu_float16`
4. There should be several instances run (as flaky tests are rerun in CI) from which you can study the logs.


Test file path: `test_nestedtensor.py`

ResponseTimeoutError: Response timeout for 5000ms, GET https://raw.githubusercontent.com/pytorch/pytorch/main/test/test_nestedtensor.py 200 (connected: true, keepalive socket: false, socketHandledRequests: 1, socketHandledResponses: 1)
headers: {""connection"":""keep-alive"",""content-length"":""138378"",""cache-control"":""max-age=300"",""content-security-policy"":""default-src 'none'; style-src 'unsafe-inline'; sandbox"",""content-type"":""text/plain; charset=utf-8"",""etag"":""\""70598adce2f7ea59edca2428ad327477a96eef2dedf5f0a03a7d6652f963cacf\"""",""strict-transport-security"":""max-age=31536000"",""x-content-type-options"":""nosniff"",""x-frame-options"":""deny"",""x-xss-protection"":""1; mode=block"",""x-github-request-id"":""B9FA:1CF1:134794:17BEC8:6536BDE5"",""accept-ranges"":""bytes"",""date"":""Mon, 23 Oct 2023 18:39:34 GMT"",""via"":""1.1 varnish"",""x-served-by"":""cache-sjc1000104-SJC"",""x-cache"":""MISS"",""x-cache-hits"":""0"",""x-timer"":""S1698086374.139982,VS0,VE192"",""vary"":""Authorization,Accept-Encoding,Origin"",""access-control-allow-origin"":""*"",""cross-origin-resource-policy"":""cross-origin"",""x-fastly-request-id"":""1296da4d8db7f56738313a7143ecc245638da458"",""expires"":""Mon, 23 Oct 2023 18:44:34 GMT"",""source-age"":""0""}

cc @ezyang @msaroufim @wconstab @bdhirsh @anijain2305 @zou3519"
111825,DISABLED test_meta_outplace_fft_ihfft2_cpu_int16 (__main__.TestMetaCPU),"Platforms: dynamo

This test was disabled because it is failing in CI. See [recent examples](https://hud.pytorch.org/flakytest?name=test_meta_outplace_fft_ihfft2_cpu_int16&suite=TestMetaCPU) and the most recent trunk [workflow logs](https://github.com/pytorch/pytorch/runs/17964762574).

Over the past 3 hours, it has been determined flaky in 8 workflow(s) with 24 failures and 8 successes.

**Debugging instructions (after clicking on the recent samples link):**
DO NOT ASSUME THINGS ARE OKAY IF THE CI IS GREEN. We now shield flaky tests from developers so CI will thus be green but it will be harder to parse the logs.
To find relevant log snippets:
1. Click on the workflow logs linked above
2. Click on the Test step of the job so that it is expanded. Otherwise, the grepping will not work.
3. Grep for `test_meta_outplace_fft_ihfft2_cpu_int16`
4. There should be several instances run (as flaky tests are rerun in CI) from which you can study the logs.


Test file path: `test_meta.py`

ResponseTimeoutError: Response timeout for 5000ms, GET https://raw.githubusercontent.com/pytorch/pytorch/main/test/test_meta.py -1 (connected: true, keepalive socket: false, socketHandledRequests: 1, socketHandledResponses: 0)
headers: {}

cc @ezyang @msaroufim @wconstab @bdhirsh @anijain2305 @zou3519"
111824,GroupNorm & InstanceNorm does not handle channels_last correctly,"### 🐛 Describe the bug

GroupNorm does not return channels_last tensor.

```python
norm = nn.GroupNorm(8, 32).to(device, memory_format=torch.channels_last)
x = torch.randn([4, 32, 24, 24], device=device).to(memory_format=torch.channels_last)

print(x.stride())
assert x.is_contiguous(memory_format=torch.channels_last) # Pass

y = norm(x)

print(y.stride())
assert y.is_contiguous(memory_format=torch.channels_last) # Fail
```

I had to implement groupnorm manually. Somehow this works great and fast.

```python
class GroupNorm(nn.GroupNorm):
    def forward(self, x):
        dtype = x.dtype
        x = x.float()
        x = rearrange(x, ""b (g c) h w -> b g c h w"", g=self.num_groups)

        mean = x.mean(dim=[2,3,4], keepdim=True)
        var = x.var(dim=[2,3,4], keepdim=True)

        x = (x - mean) * (var + self.eps).rsqrt()
        x = rearrange(x, ""b g c h w -> b (g c) h w"")

        if self.affine:
            weight = rearrange(self.weight, ""c -> 1 c 1 1"")
            bias = rearrange(self.bias, ""c -> 1 c 1 1"")
            x = x * weight + bias

        x = x.type(dtype)
        return x
```



### Versions

Collecting environment information...
PyTorch version: 2.1.0+cu121
Is debug build: False
CUDA used to build PyTorch: 12.1
ROCM used to build PyTorch: N/A

OS: Debian GNU/Linux 11 (bullseye) (x86_64)
GCC version: (Debian 10.2.1-6) 10.2.1 20210110
Clang version: Could not collect
CMake version: version 3.18.4
Libc version: glibc-2.31

Python version: 3.9.2 (default, Feb 28 2021, 17:03:44)  [GCC 10.2.1 20210110] (64-bit runtime)
Python platform: Linux-5.4.56.bsk.11-amd64-x86_64-with-glibc2.31
Is CUDA available: True
CUDA runtime version: 12.2.140
CUDA_MODULE_LOADING set to: LAZY
GPU models and configuration: GPU 0: NVIDIA A100-SXM4-80GB
Nvidia driver version: 470.129.06
cuDNN version: Probably one of the following:
/usr/lib/x86_64-linux-gnu/libcudnn.so.8.9.4
/usr/lib/x86_64-linux-gnu/libcudnn_adv_infer.so.8.9.4
/usr/lib/x86_64-linux-gnu/libcudnn_adv_train.so.8.9.4
/usr/lib/x86_64-linux-gnu/libcudnn_cnn_infer.so.8.9.4
/usr/lib/x86_64-linux-gnu/libcudnn_cnn_train.so.8.9.4
/usr/lib/x86_64-linux-gnu/libcudnn_ops_infer.so.8.9.4
/usr/lib/x86_64-linux-gnu/libcudnn_ops_train.so.8.9.4
HIP runtime version: N/A
MIOpen runtime version: N/A
Is XNNPACK available: True

CPU:
Architecture:                    x86_64
CPU op-mode(s):                  32-bit, 64-bit
Byte Order:                      Little Endian
Address sizes:                   46 bits physical, 48 bits virtual
CPU(s):                          96
On-line CPU(s) list:             0-95
Thread(s) per core:              2
Core(s) per socket:              24
Socket(s):                       2
NUMA node(s):                    2
Vendor ID:                       GenuineIntel
CPU family:                      6
Model:                           85
Model name:                      Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz
Stepping:                        7
CPU MHz:                         3599.940
BogoMIPS:                        5999.99
Hypervisor vendor:               KVM
Virtualization type:             full
L1d cache:                       1.5 MiB
L1i cache:                       1.5 MiB
L2 cache:                        48 MiB
L3 cache:                        71.5 MiB
NUMA node0 CPU(s):               0-23,48-71
NUMA node1 CPU(s):               24-47,72-95
Vulnerability Itlb multihit:     KVM: Vulnerable
Vulnerability L1tf:              Mitigation; PTE Inversion
Vulnerability Mds:               Vulnerable: Clear CPU buffers attempted, no microcode; SMT Host state unknown
Vulnerability Meltdown:          Vulnerable
Vulnerability Spec store bypass: Vulnerable
Vulnerability Spectre v1:        Mitigation; usercopy/swapgs barriers and __user pointer sanitization
Vulnerability Spectre v2:        Vulnerable, STIBP: disabled
Vulnerability Srbds:             Not affected
Vulnerability Tsx async abort:   Not affected
Flags:                           fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 ss ht syscall nx pdpe1gb rdtscp lm constant_tsc arch_perfmon rep_good nopl xtopology nonstop_tsc cpuid aperfmperf tsc_known_freq pni pclmulqdq monitor ssse3 fma cx16 pcid sse4_1 sse4_2 x2apic movbe popcnt tsc_deadline_timer aes xsave avx f16c rdrand hypervisor lahf_lm abm 3dnowprefetch invpcid_single fsgsbase tsc_adjust bmi1 avx2 smep bmi2 erms invpcid mpx avx512f avx512dq rdseed adx smap clflushopt clwb avx512cd avx512bw avx512vl xsaveopt xsavec xgetbv1 xsaves ida arat pku ospke

Versions of relevant libraries:
[pip3] byted-torch==2.1.0.post0
[pip3] byted-torch-monitor==0.0.1
[pip3] numpy==1.26.1
[pip3] torch==2.1.0
[pip3] torchaudio==2.1.0+cu121
[pip3] torchvision==0.16.0
[pip3] triton==2.1.0
[conda] Could not collect

cc @albanD @mruberry @jbschlosser @walterddr @mikaylagawarecki"
111819,__slots__ + inheriting from torch.Tensor,"# Sumary
Inheriting from torch.tensor causes the attribute checking from slots to not raise anymore 

``` Python
class Example():
    __slots__ = ['a', 'b']

class Example_2(torch.Tensor):
    __slots__ = ['a', 'b']

def main():
    ex1 = Example()
    ex2 = Example_2()
    except_raised = False
    try:
        ex1.c = 1
    except AttributeError:
        except_raised = True
    assert except_raised
    # No exception raised
    ex2.c = 1
  
main()
```

I imagine it is because torch.Tensor creates a __dict__ and we inherit this. I am curious if it is best practice to do something like this on the subclass, or would this cause other things to not work?

``` Python
    def __setattr__(self, name, value):
        if name not in self.__slots__:
            raise AttributeError(f""'{type(self).__name__}' object has no attribute '{name}'"")
        super().__setattr__(name, value)

    def __getattr__(self, name):
        if name not in self.__slots__:
            raise AttributeError(f""'{type(self).__name__}' object has no attribute '{name}'"")
        return super().__getattr__(name)
        ```

cc @ezyang @msaroufim @albanD"
111818,[aotinductor] 14k models: AssertionError,"Repro:
```
python main.py --compile_mode aot_inductor -e  ./generated/test_ruotianluo_self_critical_pytorch.py:SublayerConnection
```

cc @ezyang @msaroufim @wconstab @bdhirsh @anijain2305 @zou3519"
111813,[aotinductor]14k models: RuntimeError: t == DeviceType::CUDA INTERNAL,"Repro:
```
python main.py --compile_mode export -e ./generated/test_Vious_LBAM_Pytorch.py:GaussActivation
```

cc @ezyang @msaroufim @wconstab @bdhirsh @anijain2305 @zou3519"
111809,torch.utils.flop_counter modifies model signatures when it shouldn't ,"### 🐛 Describe the bug

`torch.utils.flop_counter` has hooks that can undesirably change some model signatures, which in turn can lead to errors. This happens when a call returns a tuple with only one element. When using the flop counter, the call instead starts to return the element itself instead of a tuple, which can cause downstream errors.

A simple example is shown below (need to `pip install open_clip_torch` to run it). The code below (without the flop counter) works fine.

```python
import open_clip
import torch
model = open_clip.create_model('xlm-roberta-base-ViT-B-32', force_custom_text=True, pretrained_hf=False).text
example_input = torch.ones((1, 514), dtype=torch.int64)
model(example_input)
```

When adding the flop counter, the code now fails.

```python
import open_clip
import torch
from torch.utils.flop_counter import FlopCounterMode

model = open_clip.create_model('xlm-roberta-base-ViT-B-32', force_custom_text=True, pretrained_hf=False).text
example_input = torch.ones((1, 514), dtype=torch.int64)
flop_counter = FlopCounterMode(model)
with flop_counter:
    model(example_input)
```

Error:

```
Module                           FLOP    % Total
--------------------------  ---------  ---------
HFTextEncoder               8087.679M    100.00%
 - aten.addmm               7276.069M     89.96%
 - aten.bmm                  811.610M     10.04%
 HFTextEncoder.transformer  8087.679M    100.00%
  - aten.addmm              7276.069M     89.96%
  - aten.bmm                 811.610M     10.04%
Traceback (most recent call last):
  File ""/home/open_clip/test.py"", line 17, in <module>
    model(example_input)
  File ""/home/miniconda3/envs/oc/lib/python3.10/site-packages/torch/nn/modules/module.py"", line 1518, in _wrapped_call_impl
    return self._call_impl(*args, **kwargs)
  File ""/home/miniconda3/envs/oc/lib/python3.10/site-packages/torch/nn/modules/module.py"", line 1568, in _call_impl
    result = forward_call(*args, **kwargs)
  File ""/home/open_clip/src/open_clip/hf_model.py"", line 156, in forward
    out = self.transformer(input_ids=x, attention_mask=attn_mask)
  File ""/home/miniconda3/envs/oc/lib/python3.10/site-packages/torch/nn/modules/module.py"", line 1518, in _wrapped_call_impl
    return self._call_impl(*args, **kwargs)
  File ""/home/miniconda3/envs/oc/lib/python3.10/site-packages/torch/nn/modules/module.py"", line 1568, in _call_impl
    result = forward_call(*args, **kwargs)
  File ""/home/miniconda3/envs/oc/lib/python3.10/site-packages/transformers/models/xlm_roberta/modeling_xlm_roberta.py"", line 850, in forward
    encoder_outputs = self.encoder(
  File ""/home/miniconda3/envs/oc/lib/python3.10/site-packages/torch/nn/modules/module.py"", line 1518, in _wrapped_call_impl
    return self._call_impl(*args, **kwargs)
  File ""/home/miniconda3/envs/oc/lib/python3.10/site-packages/torch/nn/modules/module.py"", line 1568, in _call_impl
    result = forward_call(*args, **kwargs)
  File ""/home/miniconda3/envs/oc/lib/python3.10/site-packages/transformers/models/xlm_roberta/modeling_xlm_roberta.py"", line 534, in forward
    layer_outputs = layer_module(
  File ""/home/miniconda3/envs/oc/lib/python3.10/site-packages/torch/nn/modules/module.py"", line 1518, in _wrapped_call_impl
    return self._call_impl(*args, **kwargs)
  File ""/home/miniconda3/envs/oc/lib/python3.10/site-packages/torch/nn/modules/module.py"", line 1568, in _call_impl
    result = forward_call(*args, **kwargs)
  File ""/home/miniconda3/envs/oc/lib/python3.10/site-packages/transformers/models/xlm_roberta/modeling_xlm_roberta.py"", line 463, in forward
    outputs = (layer_output,) + outputs
TypeError: can only concatenate tuple (not ""Tensor"") to tuple
```


I believe this is because of how the code currently normalizes outputs to tuples, and then attempts to reverse this at https://github.com/pytorch/pytorch/blob/f7401de1bbf29ac488aac6a2c472c79353a7533d/torch/utils/flop_counter.py#L334. However, we should only reverse this if the original signature wasn't a tuple with one element.  

### Versions

```
PyTorch version: 2.1.0+cu121
Is debug build: False
CUDA used to build PyTorch: 12.1
ROCM used to build PyTorch: N/A

OS: Ubuntu 20.04.6 LTS (x86_64)
GCC version: (Ubuntu 9.4.0-1ubuntu1~20.04.2) 9.4.0
Clang version: Could not collect
CMake version: Could not collect
Libc version: glibc-2.31

Python version: 3.10.8 (main, Nov  4 2022, 13:48:29) [GCC 11.2.0] (64-bit runtime)
Python platform: Linux-5.15.0-1037-aws-x86_64-with-glibc2.31
Is CUDA available: False
CUDA runtime version: No CUDA
CUDA_MODULE_LOADING set to: N/A
GPU models and configuration: No CUDA
Nvidia driver version: No CUDA
cuDNN version: No CUDA
HIP runtime version: N/A
MIOpen runtime version: N/A
Is XNNPACK available: True

CPU:
Architecture:                    x86_64
CPU op-mode(s):                  32-bit, 64-bit
Byte Order:                      Little Endian
Address sizes:                   46 bits physical, 48 bits virtual
CPU(s):                          36
On-line CPU(s) list:             0-35
Thread(s) per core:              2
Core(s) per socket:              18
Socket(s):                       1
NUMA node(s):                    1
Vendor ID:                       GenuineIntel
CPU family:                      6
Model:                           85
Model name:                      Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz
Stepping:                        4
CPU MHz:                         3241.206
BogoMIPS:                        6000.01
Hypervisor vendor:               KVM
Virtualization type:             full
L1d cache:                       576 KiB
L1i cache:                       576 KiB
L2 cache:                        18 MiB
L3 cache:                        24.8 MiB
NUMA node0 CPU(s):               0-35
Vulnerability Itlb multihit:     KVM: Mitigation: VMX unsupported
Vulnerability L1tf:              Mitigation; PTE Inversion
Vulnerability Mds:               Vulnerable: Clear CPU buffers attempted, no microcode; SMT Host state unknown
Vulnerability Meltdown:          Mitigation; PTI
Vulnerability Mmio stale data:   Vulnerable: Clear CPU buffers attempted, no microcode; SMT Host state unknown
Vulnerability Retbleed:          Vulnerable
Vulnerability Spec store bypass: Vulnerable
Vulnerability Spectre v1:        Mitigation; usercopy/swapgs barriers and __user pointer sanitization
Vulnerability Spectre v2:        Mitigation; Retpolines, STIBP disabled, RSB filling, PBRSB-eIBRS Not affected
Vulnerability Srbds:             Not affected
Vulnerability Tsx async abort:   Not affected
Flags:                           fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 ss ht syscall nx pdpe1gb rdtscp lm constant_tsc arch_perfmon rep_good nopl xtopology nonstop_tsc cpuid aperfmperf tsc_known_freq pni pclmulqdq monitor ssse3 fma cx16 pcid sse4_1 sse4_2 x2apic movbe popcnt tsc_deadline_timer aes xsave avx f16c rdrand hypervisor lahf_lm abm 3dnowprefetch invpcid_single pti fsgsbase tsc_adjust bmi1 avx2 smep bmi2 erms invpcid mpx avx512f avx512dq rdseed adx smap clflushopt clwb avx512cd avx512bw avx512vl xsaveopt xsavec xgetbv1 xsaves ida arat pku ospke

Versions of relevant libraries:
[pip3] numpy==1.23.4
[pip3] open-clip-torch==2.22.0
[pip3] torch==2.1.0
[pip3] torchvision==0.16.0
[pip3] triton==2.1.0
[conda] numpy                     1.23.4                   pypi_0    pypi
[conda] open-clip-torch           2.22.0                    dev_0    <develop>
[conda] torch                     2.1.0                    pypi_0    pypi
[conda] torchvision               0.16.0                   pypi_0    pypi
[conda] triton                    2.1.0                    pypi_0    pypi
```

cc @robieta @chaekit @aaronenyeshi @nbcsm @guotuofeng @guyang3532 @gaoteng-git @tiffzhaofb @dzhulgakov @davidberard98"
111806,Revisit security implications of #31875,"### 🐛 Describe the bug

https://github.com/pytorch/pytorch/issues/31875 was closed by adding a warning to the documentation of `load`.

This is unhelpful because by the time you come to load the model, it's too late. Your choice is either run the binary blob or... not use the model at all.

I would like to suggest moving to a default serialization format which does not rely on arbitrary code execution. Ideally the format would also be based on some standard so that it could be easily read by other tools.

A `load_insecure()` function could be retained for backwards compatibility with older models, but the important thing is that new models be saved to a safer format by default.

I did notice that the docs for `torch.save()` mention a new ""zip-file based serialization format"". However, it is not documented whether this new format is also vulnerable to RCE. Furthermore, there doesn't appear to be an option in `pytorch.load()` to reject the older *definitely insecure* format.

### Versions

N/A"
